Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      132000 ops,  133402 (avg:  133402) ops/sec, 13.49MB/sec (avg: 13.49MB/sec),  2.99 (avg:  2.99) msec latency
[RUN #1 1%,   1 secs]  8 threads:      253037 ops,  121005 (avg:  127170) ops/sec, 12.24MB/sec (avg: 12.86MB/sec),  3.30 (avg:  3.14) msec latency
[RUN #1 1%,   2 secs]  8 threads:      404266 ops,  151188 (avg:  135205) ops/sec, 15.29MB/sec (avg: 13.67MB/sec),  2.64 (avg:  2.95) msec latency
[RUN #1 1%,   3 secs]  8 threads:      549175 ops,  144873 (avg:  137628) ops/sec, 14.65MB/sec (avg: 13.92MB/sec),  2.74 (avg:  2.90) msec latency
[RUN #1 1%,   4 secs]  8 threads:      695520 ops,  146310 (avg:  139368) ops/sec, 14.80MB/sec (avg: 14.09MB/sec),  2.74 (avg:  2.86) msec latency
[RUN #1 2%,   5 secs]  8 threads:      840015 ops,  144458 (avg:  140218) ops/sec, 14.61MB/sec (avg: 14.18MB/sec),  2.77 (avg:  2.85) msec latency
[RUN #1 2%,   6 secs]  8 threads:      980097 ops,  140049 (avg:  140194) ops/sec, 14.16MB/sec (avg: 14.18MB/sec),  2.85 (avg:  2.85) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1119155 ops,  139022 (avg:  140047) ops/sec, 14.06MB/sec (avg: 14.16MB/sec),  2.87 (avg:  2.85) msec latency
[RUN #1 3%,   8 secs]  8 threads:     1267351 ops,  148163 (avg:  140950) ops/sec, 14.98MB/sec (avg: 14.25MB/sec),  2.69 (avg:  2.83) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1404249 ops,  136864 (avg:  140541) ops/sec, 13.84MB/sec (avg: 14.21MB/sec),  2.91 (avg:  2.84) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1547926 ops,  143640 (avg:  140823) ops/sec, 14.53MB/sec (avg: 14.24MB/sec),  2.77 (avg:  2.83) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1696169 ops,  148210 (avg:  141439) ops/sec, 14.99MB/sec (avg: 14.30MB/sec),  2.70 (avg:  2.82) msec latency
[RUN #1 4%,  12 secs]  8 threads:     1832343 ops,  136139 (avg:  141031) ops/sec, 13.77MB/sec (avg: 14.26MB/sec),  2.93 (avg:  2.83) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1976386 ops,  143997 (avg:  141243) ops/sec, 14.56MB/sec (avg: 14.28MB/sec),  2.77 (avg:  2.83) msec latency
[RUN #1 4%,  14 secs]  8 threads:     2115921 ops,  139497 (avg:  141127) ops/sec, 14.11MB/sec (avg: 14.27MB/sec),  2.86 (avg:  2.83) msec latency
[RUN #1 5%,  15 secs]  8 threads:     2275791 ops,  159834 (avg:  142297) ops/sec, 16.16MB/sec (avg: 14.39MB/sec),  2.50 (avg:  2.80) msec latency
[RUN #1 5%,  16 secs]  8 threads:     2431163 ops,  155329 (avg:  143064) ops/sec, 15.71MB/sec (avg: 14.47MB/sec),  2.57 (avg:  2.79) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2558970 ops,  127775 (avg:  142214) ops/sec, 12.92MB/sec (avg: 14.38MB/sec),  3.12 (avg:  2.81) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2715843 ops,  156837 (avg:  142984) ops/sec, 15.86MB/sec (avg: 14.46MB/sec),  2.54 (avg:  2.79) msec latency
[RUN #1 6%,  19 secs]  8 threads:     2866114 ops,  150237 (avg:  143347) ops/sec, 15.19MB/sec (avg: 14.50MB/sec),  2.66 (avg:  2.78) msec latency
[RUN #1 6%,  20 secs]  8 threads:     3009072 ops,  142922 (avg:  143327) ops/sec, 14.45MB/sec (avg: 14.49MB/sec),  2.79 (avg:  2.78) msec latency
[RUN #1 6%,  21 secs]  8 threads:     3154636 ops,  145523 (avg:  143426) ops/sec, 14.72MB/sec (avg: 14.50MB/sec),  2.74 (avg:  2.78) msec latency
[RUN #1 7%,  22 secs]  8 threads:     3308576 ops,  153904 (avg:  143882) ops/sec, 15.56MB/sec (avg: 14.55MB/sec),  2.59 (avg:  2.77) msec latency
[RUN #1 7%,  23 secs]  8 threads:     3462780 ops,  154171 (avg:  144311) ops/sec, 15.59MB/sec (avg: 14.59MB/sec),  2.59 (avg:  2.77) msec latency
[RUN #1 7%,  24 secs]  8 threads:     3616084 ops,  153270 (avg:  144670) ops/sec, 15.50MB/sec (avg: 14.63MB/sec),  2.60 (avg:  2.76) msec latency
[RUN #1 8%,  25 secs]  8 threads:     3765536 ops,  149417 (avg:  144852) ops/sec, 15.11MB/sec (avg: 14.65MB/sec),  2.67 (avg:  2.76) msec latency
[RUN #1 8%,  26 secs]  8 threads:     3914294 ops,  148713 (avg:  144995) ops/sec, 15.04MB/sec (avg: 14.66MB/sec),  2.68 (avg:  2.75) msec latency
[RUN #1 8%,  27 secs]  8 threads:     4064938 ops,  150604 (avg:  145196) ops/sec, 15.23MB/sec (avg: 14.68MB/sec),  2.66 (avg:  2.75) msec latency
[RUN #1 8%,  28 secs]  8 threads:     4205460 ops,  140489 (avg:  145033) ops/sec, 14.21MB/sec (avg: 14.67MB/sec),  2.84 (avg:  2.75) msec latency
