Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      165603 ops,  168991 (avg:  168991) ops/sec, 15.82MB/sec (avg: 15.82MB/sec),  2.36 (avg:  2.36) msec latency
[RUN #1 1%,   1 secs]  8 threads:      287143 ops,  121502 (avg:  145002) ops/sec, 11.37MB/sec (avg: 13.58MB/sec),  3.29 (avg:  2.75) msec latency
[RUN #1 1%,   2 secs]  8 threads:      382066 ops,   94901 (avg:  128189) ops/sec, 8.88MB/sec (avg: 12.00MB/sec),  4.21 (avg:  3.11) msec latency
[RUN #1 1%,   3 secs]  8 threads:      467197 ops,   85112 (avg:  117365) ops/sec, 7.97MB/sec (avg: 10.99MB/sec),  4.69 (avg:  3.40) msec latency
[RUN #1 1%,   4 secs]  8 threads:      618210 ops,  150979 (avg:  124115) ops/sec, 14.13MB/sec (avg: 11.62MB/sec),  2.64 (avg:  3.22) msec latency
[RUN #1 2%,   5 secs]  8 threads:      765902 ops,  147656 (avg:  128052) ops/sec, 13.82MB/sec (avg: 11.99MB/sec),  2.70 (avg:  3.12) msec latency
[RUN #1 2%,   6 secs]  8 threads:      893421 ops,  127488 (avg:  127971) ops/sec, 11.93MB/sec (avg: 11.98MB/sec),  3.13 (avg:  3.12) msec latency
[RUN #1 2%,   7 secs]  8 threads:      996364 ops,  102921 (avg:  124832) ops/sec, 9.64MB/sec (avg: 11.69MB/sec),  3.88 (avg:  3.20) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1083165 ops,   86782 (avg:  120595) ops/sec, 8.12MB/sec (avg: 11.29MB/sec),  4.60 (avg:  3.31) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1222920 ops,  139724 (avg:  122511) ops/sec, 13.08MB/sec (avg: 11.47MB/sec),  2.86 (avg:  3.26) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1380857 ops,  157902 (avg:  125735) ops/sec, 14.78MB/sec (avg: 11.77MB/sec),  2.53 (avg:  3.17) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1507864 ops,  126973 (avg:  125838) ops/sec, 11.89MB/sec (avg: 11.78MB/sec),  3.14 (avg:  3.17) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1613308 ops,  105421 (avg:  124265) ops/sec, 9.87MB/sec (avg: 11.63MB/sec),  3.79 (avg:  3.21) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1702561 ops,   89233 (avg:  121759) ops/sec, 8.35MB/sec (avg: 11.40MB/sec),  4.47 (avg:  3.28) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1850832 ops,  148239 (avg:  123527) ops/sec, 13.88MB/sec (avg: 11.56MB/sec),  2.70 (avg:  3.23) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2000682 ops,  149815 (avg:  125172) ops/sec, 14.03MB/sec (avg: 11.72MB/sec),  2.66 (avg:  3.19) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2130063 ops,  129353 (avg:  125418) ops/sec, 12.11MB/sec (avg: 11.74MB/sec),  3.08 (avg:  3.18) msec latency
[RUN #1 4%,  17 secs]  8 threads:     2227633 ops,   97550 (avg:  123868) ops/sec, 9.13MB/sec (avg: 11.60MB/sec),  4.09 (avg:  3.22) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2321782 ops,   94128 (avg:  122301) ops/sec, 8.81MB/sec (avg: 11.45MB/sec),  4.24 (avg:  3.26) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2472011 ops,  150191 (avg:  123697) ops/sec, 14.06MB/sec (avg: 11.58MB/sec),  2.66 (avg:  3.23) msec latency
[RUN #1 5%,  20 secs]  8 threads:     2627882 ops,  155830 (avg:  125229) ops/sec, 14.59MB/sec (avg: 11.72MB/sec),  2.56 (avg:  3.19) msec latency
[RUN #1 5%,  21 secs]  8 threads:     2749453 ops,  121543 (avg:  125061) ops/sec, 11.38MB/sec (avg: 11.71MB/sec),  3.28 (avg:  3.19) msec latency
