============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      140364 ops,  142869 (avg:  142869) ops/sec, 12.09MB/sec (avg: 12.09MB/sec),  2.79 (avg:  2.79) msec latency
[RUN #1 1%,   1 secs]  8 threads:      268856 ops,  128458 (avg:  135599) ops/sec, 10.87MB/sec (avg: 11.48MB/sec),  3.11 (avg:  2.94) msec latency
[RUN #1 1%,   2 secs]  8 threads:      391545 ops,  122656 (avg:  131259) ops/sec, 10.39MB/sec (avg: 11.11MB/sec),  3.25 (avg:  3.04) msec latency
[RUN #1 1%,   3 secs]  8 threads:      494072 ops,  102174 (avg:  123938) ops/sec, 8.65MB/sec (avg: 10.49MB/sec),  3.90 (avg:  3.22) msec latency
[RUN #1 1%,   4 secs]  8 threads:      610842 ops,  116739 (avg:  122494) ops/sec, 9.88MB/sec (avg: 10.37MB/sec),  3.42 (avg:  3.26) msec latency
[RUN #1 1%,   5 secs]  8 threads:      726292 ops,  115420 (avg:  121312) ops/sec, 9.77MB/sec (avg: 10.27MB/sec),  3.46 (avg:  3.29) msec latency
[RUN #1 2%,   6 secs]  8 threads:      847258 ops,  120932 (avg:  121258) ops/sec, 10.24MB/sec (avg: 10.27MB/sec),  3.30 (avg:  3.29) msec latency
[RUN #1 2%,   7 secs]  8 threads:      962706 ops,  115423 (avg:  120527) ops/sec, 9.78MB/sec (avg: 10.20MB/sec),  3.46 (avg:  3.31) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1087798 ops,  125065 (avg:  121032) ops/sec, 10.59MB/sec (avg: 10.25MB/sec),  3.19 (avg:  3.30) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1197384 ops,  109556 (avg:  119883) ops/sec, 9.27MB/sec (avg: 10.15MB/sec),  3.65 (avg:  3.33) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1323289 ops,  125875 (avg:  120428) ops/sec, 10.65MB/sec (avg: 10.20MB/sec),  3.17 (avg:  3.31) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1467442 ops,  144120 (avg:  122405) ops/sec, 12.20MB/sec (avg: 10.36MB/sec),  2.77 (avg:  3.26) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1590322 ops,  122853 (avg:  122439) ops/sec, 10.40MB/sec (avg: 10.37MB/sec),  3.25 (avg:  3.26) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1691508 ops,  101163 (avg:  120918) ops/sec, 8.56MB/sec (avg: 10.24MB/sec),  3.95 (avg:  3.30) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1785872 ops,   94341 (avg:  119144) ops/sec, 7.99MB/sec (avg: 10.09MB/sec),  4.23 (avg:  3.35) msec latency
[RUN #1 4%,  15 secs]  8 threads:     1898465 ops,  112564 (avg:  118733) ops/sec, 9.53MB/sec (avg: 10.05MB/sec),  3.55 (avg:  3.36) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2038820 ops,  140326 (avg:  120004) ops/sec, 11.88MB/sec (avg: 10.16MB/sec),  2.84 (avg:  3.33) msec latency
[RUN #1 4%,  17 secs]  8 threads:     2171364 ops,  132515 (avg:  120700) ops/sec, 11.22MB/sec (avg: 10.22MB/sec),  3.01 (avg:  3.31) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2294361 ops,  122967 (avg:  120819) ops/sec, 10.41MB/sec (avg: 10.23MB/sec),  3.25 (avg:  3.30) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2408796 ops,  114410 (avg:  120498) ops/sec, 9.69MB/sec (avg: 10.20MB/sec),  3.49 (avg:  3.31) msec latency
[RUN #1 5%,  20 secs]  8 threads:     2528350 ops,  119527 (avg:  120452) ops/sec, 10.12MB/sec (avg: 10.20MB/sec),  3.34 (avg:  3.31) msec latency
[RUN #1 5%,  21 secs]  8 threads:     2668014 ops,  139630 (avg:  121324) ops/sec, 11.82MB/sec (avg: 10.27MB/sec),  2.86 (avg:  3.29) msec latency
[RUN #1 6%,  22 secs]  8 threads:     2799027 ops,  130980 (avg:  121744) ops/sec, 11.09MB/sec (avg: 10.31MB/sec),  3.05 (avg:  3.28) msec latency
[RUN #1 6%,  23 secs]  8 threads:     2926068 ops,  127013 (avg:  121964) ops/sec, 10.75MB/sec (avg: 10.33MB/sec),  3.14 (avg:  3.27) msec latency
[RUN #1 6%,  24 secs]  8 threads:     3039874 ops,  113778 (avg:  121636) ops/sec, 9.63MB/sec (avg: 10.30MB/sec),  3.51 (avg:  3.28) msec latency
[RUN #1 6%,  25 secs]  8 threads:     3153452 ops,  113550 (avg:  121325) ops/sec, 9.61MB/sec (avg: 10.27MB/sec),  3.52 (avg:  3.29) msec latency
[RUN #1 6%,  26 secs]  8 threads:     3249582 ops,   96108 (avg:  120391) ops/sec, 8.14MB/sec (avg: 10.19MB/sec),  4.15 (avg:  3.32) msec latency
[RUN #1 7%,  27 secs]  8 threads:     3328885 ops,   79284 (avg:  118922) ops/sec, 6.71MB/sec (avg: 10.07MB/sec),  5.03 (avg:  3.36) msec latency
[RUN #1 7%,  28 secs]  8 threads:     3394096 ops,   65194 (avg:  117068) ops/sec, 5.52MB/sec (avg: 9.91MB/sec),  6.12 (avg:  3.41) msec latency
[RUN #1 7%,  29 secs]  8 threads:     3461529 ops,   67415 (avg:  115412) ops/sec, 5.71MB/sec (avg: 9.77MB/sec),  5.93 (avg:  3.46) msec latency
