Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      161830 ops,  162156 (avg:  162156) ops/sec, 16.39MB/sec (avg: 16.39MB/sec),  2.45 (avg:  2.45) msec latency
[RUN #1 1%,   1 secs]  8 threads:      315129 ops,  153195 (avg:  157670) ops/sec, 15.49MB/sec (avg: 15.94MB/sec),  2.61 (avg:  2.53) msec latency
[RUN #1 1%,   2 secs]  8 threads:      467566 ops,  152400 (avg:  155912) ops/sec, 15.41MB/sec (avg: 15.76MB/sec),  2.61 (avg:  2.56) msec latency
[RUN #1 1%,   3 secs]  8 threads:      616268 ops,  148662 (avg:  154099) ops/sec, 15.03MB/sec (avg: 15.58MB/sec),  2.69 (avg:  2.59) msec latency
[RUN #1 2%,   4 secs]  8 threads:      771788 ops,  155486 (avg:  154376) ops/sec, 15.72MB/sec (avg: 15.61MB/sec),  2.56 (avg:  2.58) msec latency
[RUN #1 2%,   5 secs]  8 threads:      913843 ops,  142021 (avg:  152316) ops/sec, 14.36MB/sec (avg: 15.40MB/sec),  2.82 (avg:  2.62) msec latency
[RUN #1 2%,   6 secs]  8 threads:     1057734 ops,  143853 (avg:  151107) ops/sec, 14.55MB/sec (avg: 15.28MB/sec),  2.77 (avg:  2.64) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1201428 ops,  143658 (avg:  150176) ops/sec, 14.53MB/sec (avg: 15.19MB/sec),  2.79 (avg:  2.66) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1349261 ops,  147799 (avg:  149911) ops/sec, 14.95MB/sec (avg: 15.16MB/sec),  2.70 (avg:  2.66) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1491125 ops,  141830 (avg:  149103) ops/sec, 14.34MB/sec (avg: 15.08MB/sec),  2.81 (avg:  2.68) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1645670 ops,  154508 (avg:  149595) ops/sec, 15.62MB/sec (avg: 15.13MB/sec),  2.58 (avg:  2.67) msec latency
[RUN #1 4%,  12 secs]  8 threads:     1791898 ops,  146185 (avg:  149310) ops/sec, 14.78MB/sec (avg: 15.10MB/sec),  2.73 (avg:  2.67) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1946197 ops,  154265 (avg:  149692) ops/sec, 15.60MB/sec (avg: 15.14MB/sec),  2.59 (avg:  2.67) msec latency
[RUN #1 4%,  14 secs]  8 threads:     2095951 ops,  149721 (avg:  149694) ops/sec, 15.14MB/sec (avg: 15.14MB/sec),  2.67 (avg:  2.67) msec latency
[RUN #1 5%,  15 secs]  8 threads:     2250202 ops,  154200 (avg:  149994) ops/sec, 15.59MB/sec (avg: 15.17MB/sec),  2.59 (avg:  2.66) msec latency
[RUN #1 5%,  16 secs]  8 threads:     2384568 ops,  134334 (avg:  149015) ops/sec, 13.58MB/sec (avg: 15.07MB/sec),  2.97 (avg:  2.68) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2532837 ops,  148235 (avg:  148969) ops/sec, 14.99MB/sec (avg: 15.06MB/sec),  2.69 (avg:  2.68) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2663094 ops,  130230 (avg:  147928) ops/sec, 13.17MB/sec (avg: 14.96MB/sec),  3.07 (avg:  2.70) msec latency
[RUN #1 6%,  19 secs]  8 threads:     2815183 ops,  152052 (avg:  148145) ops/sec, 15.38MB/sec (avg: 14.98MB/sec),  2.62 (avg:  2.69) msec latency
[RUN #1 6%,  20 secs]  8 threads:     2967632 ops,  152413 (avg:  148359) ops/sec, 15.41MB/sec (avg: 15.00MB/sec),  2.62 (avg:  2.69) msec latency
[RUN #1 6%,  21 secs]  8 threads:     3127732 ops,  160064 (avg:  148916) ops/sec, 16.19MB/sec (avg: 15.06MB/sec),  2.49 (avg:  2.68) msec latency
[RUN #1 7%,  22 secs]  8 threads:     3287850 ops,  160081 (avg:  149424) ops/sec, 16.19MB/sec (avg: 15.11MB/sec),  2.49 (avg:  2.67) msec latency
[RUN #1 7%,  23 secs]  8 threads:     3430579 ops,  142697 (avg:  149131) ops/sec, 14.43MB/sec (avg: 15.08MB/sec),  2.80 (avg:  2.68) msec latency
[RUN #1 7%,  24 secs]  8 threads:     3583753 ops,  153136 (avg:  149298) ops/sec, 15.49MB/sec (avg: 15.10MB/sec),  2.61 (avg:  2.67) msec latency
[RUN #1 7%,  25 secs]  8 threads:     3728694 ops,  144905 (avg:  149122) ops/sec, 14.65MB/sec (avg: 15.08MB/sec),  2.75 (avg:  2.68) msec latency
[RUN #1 8%,  26 secs]  8 threads:     3883010 ops,  154282 (avg:  149321) ops/sec, 15.60MB/sec (avg: 15.10MB/sec),  2.59 (avg:  2.67) msec latency
[RUN #1 8%,  27 secs]  8 threads:     4038354 ops,  155309 (avg:  149543) ops/sec, 15.70MB/sec (avg: 15.12MB/sec),  2.57 (avg:  2.67) msec latency
[RUN #1 8%,  28 secs]  8 threads:     4194036 ops,  155647 (avg:  149761) ops/sec, 15.74MB/sec (avg: 15.14MB/sec),  2.56 (avg:  2.66) msec latency
[RUN #1 9%,  29 secs]  8 threads:     4339138 ops,  145063 (avg:  149599) ops/sec, 14.67MB/sec (avg: 15.13MB/sec),  2.75 (avg:  2.67) msec latency
[RUN #1 9%,  30 secs]  8 threads:     4488784 ops,  149611 (avg:  149599) ops/sec, 15.13MB/sec (avg: 15.13MB/sec),  2.67 (avg:  2.67) msec latency
[RUN #1 9%,  31 secs]  8 threads:     4640345 ops,  151525 (avg:  149661) ops/sec, 15.32MB/sec (avg: 15.13MB/sec),  2.63 (avg:  2.67) msec latency
[RUN #1 10%,  32 secs]  8 threads:     4780776 ops,  140399 (avg:  149372) ops/sec, 14.20MB/sec (avg: 15.10MB/sec),  2.84 (avg:  2.67) msec latency
[RUN #1 10%,  33 secs]  8 threads:     4929502 ops,  148399 (avg:  149342) ops/sec, 15.01MB/sec (avg: 15.10MB/sec),  2.68 (avg:  2.67) msec latency
[RUN #1 10%,  34 secs]  8 threads:     5051552 ops,  122024 (avg:  148539) ops/sec, 12.34MB/sec (avg: 15.02MB/sec),  3.28 (avg:  2.69) msec latency
[RUN #1 10%,  35 secs]  8 threads:     5206828 ops,  155238 (avg:  148730) ops/sec, 15.70MB/sec (avg: 15.04MB/sec),  2.56 (avg:  2.68) msec latency
[RUN #1 11%,  36 secs]  8 threads:     5364388 ops,  157524 (avg:  148974) ops/sec, 15.93MB/sec (avg: 15.06MB/sec),  2.53 (avg:  2.68) msec latency
[RUN #1 11%,  37 secs]  8 threads:     5517661 ops,  153235 (avg:  149089) ops/sec, 15.50MB/sec (avg: 15.08MB/sec),  2.61 (avg:  2.68) msec latency
[RUN #1 11%,  38 secs]  8 threads:     5660278 ops,  142583 (avg:  148918) ops/sec, 14.42MB/sec (avg: 15.06MB/sec),  2.80 (avg:  2.68) msec latency
[RUN #1 12%,  39 secs]  8 threads:     5803001 ops,  142693 (avg:  148759) ops/sec, 14.43MB/sec (avg: 15.04MB/sec),  2.80 (avg:  2.68) msec latency
[RUN #1 12%,  40 secs]  8 threads:     5960394 ops,  157357 (avg:  148974) ops/sec, 15.91MB/sec (avg: 15.06MB/sec),  2.53 (avg:  2.68) msec latency
[RUN #1 12%,  41 secs]  8 threads:     6106925 ops,  146494 (avg:  148913) ops/sec, 14.81MB/sec (avg: 15.06MB/sec),  2.73 (avg:  2.68) msec latency
[RUN #1 13%,  42 secs]  8 threads:     6253404 ops,  146446 (avg:  148854) ops/sec, 14.81MB/sec (avg: 15.05MB/sec),  2.72 (avg:  2.68) msec latency
[RUN #1 13%,  43 secs]  8 threads:     6399989 ops,  146553 (avg:  148801) ops/sec, 14.82MB/sec (avg: 15.05MB/sec),  2.73 (avg:  2.68) msec latency
[RUN #1 13%,  44 secs]  8 threads:     6540219 ops,  140199 (avg:  148605) ops/sec, 14.18MB/sec (avg: 15.03MB/sec),  2.84 (avg:  2.69) msec latency
[RUN #1 13%,  45 secs]  8 threads:     6685151 ops,  144903 (avg:  148523) ops/sec, 14.65MB/sec (avg: 15.02MB/sec),  2.76 (avg:  2.69) msec latency
[RUN #1 14%,  46 secs]  8 threads:     6834264 ops,  149080 (avg:  148535) ops/sec, 15.08MB/sec (avg: 15.02MB/sec),  2.68 (avg:  2.69) msec latency
[RUN #1 14%,  47 secs]  8 threads:     6999444 ops,  165140 (avg:  148889) ops/sec, 16.70MB/sec (avg: 15.06MB/sec),  2.42 (avg:  2.68) msec latency
[RUN #1 14%,  48 secs]  8 threads:     7149510 ops,  150032 (avg:  148912) ops/sec, 15.17MB/sec (avg: 15.06MB/sec),  2.66 (avg:  2.68) msec latency
[RUN #1 15%,  49 secs]  8 threads:     7299239 ops,  149697 (avg:  148928) ops/sec, 15.14MB/sec (avg: 15.06MB/sec),  2.67 (avg:  2.68) msec latency
[RUN #1 15%,  50 secs]  8 threads:     7461248 ops,  161973 (avg:  149189) ops/sec, 16.38MB/sec (avg: 15.09MB/sec),  2.47 (avg:  2.67) msec latency
[RUN #1 15%,  51 secs]  8 threads:     7617234 ops,  155944 (avg:  149322) ops/sec, 15.77MB/sec (avg: 15.10MB/sec),  2.56 (avg:  2.67) msec latency
[RUN #1 16%,  52 secs]  8 threads:     7780279 ops,  163011 (avg:  149585) ops/sec, 16.48MB/sec (avg: 15.13MB/sec),  2.44 (avg:  2.67) msec latency
[RUN #1 16%,  53 secs]  8 threads:     7944781 ops,  164465 (avg:  149866) ops/sec, 16.63MB/sec (avg: 15.15MB/sec),  2.43 (avg:  2.66) msec latency
[RUN #1 16%,  54 secs]  8 threads:     8106271 ops,  161455 (avg:  150080) ops/sec, 16.33MB/sec (avg: 15.18MB/sec),  2.48 (avg:  2.66) msec latency
[RUN #1 17%,  55 secs]  8 threads:     8276639 ops,  170327 (avg:  150448) ops/sec, 17.22MB/sec (avg: 15.21MB/sec),  2.34 (avg:  2.65) msec latency
[RUN #1 17%,  56 secs]  8 threads:     8427582 ops,  150905 (avg:  150457) ops/sec, 15.26MB/sec (avg: 15.21MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 17%,  57 secs]  8 threads:     8579101 ops,  151485 (avg:  150475) ops/sec, 15.32MB/sec (avg: 15.22MB/sec),  2.64 (avg:  2.65) msec latency
[RUN #1 17%,  58 secs]  8 threads:     8738425 ops,  159288 (avg:  150627) ops/sec, 16.11MB/sec (avg: 15.23MB/sec),  2.51 (avg:  2.65) msec latency
[RUN #1 18%,  59 secs]  8 threads:     8893174 ops,  154710 (avg:  150696) ops/sec, 15.64MB/sec (avg: 15.24MB/sec),  2.58 (avg:  2.65) msec latency
[RUN #1 18%,  60 secs]  8 threads:     9043220 ops,  150005 (avg:  150684) ops/sec, 15.17MB/sec (avg: 15.24MB/sec),  2.66 (avg:  2.65) msec latency
