Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      167065 ops,  169750 (avg:  169750) ops/sec, 15.87MB/sec (avg: 15.87MB/sec),  2.34 (avg:  2.34) msec latency
[RUN #1 1%,   1 secs]  8 threads:      330949 ops,  163777 (avg:  166739) ops/sec, 15.34MB/sec (avg: 15.61MB/sec),  2.44 (avg:  2.39) msec latency
[RUN #1 1%,   2 secs]  8 threads:      498292 ops,  167249 (avg:  166910) ops/sec, 15.65MB/sec (avg: 15.62MB/sec),  2.39 (avg:  2.39) msec latency
[RUN #1 1%,   3 secs]  8 threads:      631919 ops,  133595 (avg:  158549) ops/sec, 12.51MB/sec (avg: 14.84MB/sec),  2.99 (avg:  2.52) msec latency
[RUN #1 2%,   4 secs]  8 threads:      755333 ops,  123379 (avg:  151493) ops/sec, 11.55MB/sec (avg: 14.18MB/sec),  3.23 (avg:  2.63) msec latency
[RUN #1 2%,   5 secs]  8 threads:      913094 ops,  157714 (avg:  152533) ops/sec, 14.77MB/sec (avg: 14.28MB/sec),  2.53 (avg:  2.62) msec latency
[RUN #1 2%,   6 secs]  8 threads:     1069988 ops,  156851 (avg:  153151) ops/sec, 14.69MB/sec (avg: 14.34MB/sec),  2.54 (avg:  2.61) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1225819 ops,  155791 (avg:  153482) ops/sec, 14.59MB/sec (avg: 14.37MB/sec),  2.56 (avg:  2.60) msec latency
[RUN #1 3%,   8 secs]  8 threads:     1364201 ops,  138351 (avg:  151798) ops/sec, 12.95MB/sec (avg: 14.21MB/sec),  2.89 (avg:  2.63) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1480748 ops,  116521 (avg:  148265) ops/sec, 10.91MB/sec (avg: 13.88MB/sec),  3.43 (avg:  2.69) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1632073 ops,  151279 (avg:  148539) ops/sec, 14.16MB/sec (avg: 13.90MB/sec),  2.64 (avg:  2.69) msec latency
[RUN #1 4%,  11 secs]  8 threads:     1791780 ops,  159666 (avg:  149467) ops/sec, 14.95MB/sec (avg: 13.99MB/sec),  2.50 (avg:  2.67) msec latency
