Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      154164 ops,  154185 (avg:  154185) ops/sec, 15.87MB/sec (avg: 15.87MB/sec),  2.59 (avg:  2.59) msec latency
[RUN #1 1%,   2 secs]  8 threads:      300584 ops,  146388 (avg:  150286) ops/sec, 15.07MB/sec (avg: 15.47MB/sec),  2.73 (avg:  2.66) msec latency
[RUN #1 1%,   3 secs]  8 threads:      435076 ops,  134456 (avg:  145008) ops/sec, 13.84MB/sec (avg: 14.93MB/sec),  2.97 (avg:  2.75) msec latency
[RUN #1 1%,   4 secs]  8 threads:      580303 ops,  145189 (avg:  145053) ops/sec, 14.94MB/sec (avg: 14.93MB/sec),  2.75 (avg:  2.75) msec latency
[RUN #1 1%,   5 secs]  8 threads:      720774 ops,  140439 (avg:  144130) ops/sec, 14.46MB/sec (avg: 14.84MB/sec),  2.83 (avg:  2.77) msec latency
[RUN #1 2%,   6 secs]  8 threads:      871342 ops,  150534 (avg:  145198) ops/sec, 15.49MB/sec (avg: 14.95MB/sec),  2.66 (avg:  2.75) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1023738 ops,  152358 (avg:  146221) ops/sec, 15.68MB/sec (avg: 15.05MB/sec),  2.62 (avg:  2.73) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1178570 ops,  154795 (avg:  147292) ops/sec, 15.93MB/sec (avg: 15.16MB/sec),  2.58 (avg:  2.71) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1324766 ops,  145961 (avg:  147144) ops/sec, 15.02MB/sec (avg: 15.15MB/sec),  2.73 (avg:  2.71) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1460295 ops,  135495 (avg:  145979) ops/sec, 13.95MB/sec (avg: 15.03MB/sec),  2.94 (avg:  2.73) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1591520 ops,  131193 (avg:  144635) ops/sec, 13.50MB/sec (avg: 14.89MB/sec),  3.04 (avg:  2.76) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1720586 ops,  129035 (avg:  143335) ops/sec, 13.28MB/sec (avg: 14.75MB/sec),  3.09 (avg:  2.78) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1843325 ops,  122708 (avg:  141749) ops/sec, 12.63MB/sec (avg: 14.59MB/sec),  3.25 (avg:  2.82) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1983772 ops,  140410 (avg:  141653) ops/sec, 14.45MB/sec (avg: 14.58MB/sec),  2.84 (avg:  2.82) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2113709 ops,  129908 (avg:  140870) ops/sec, 13.37MB/sec (avg: 14.50MB/sec),  3.07 (avg:  2.83) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2238825 ops,  125088 (avg:  139884) ops/sec, 12.88MB/sec (avg: 14.40MB/sec),  3.19 (avg:  2.85) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2373352 ops,  134492 (avg:  139567) ops/sec, 13.84MB/sec (avg: 14.37MB/sec),  2.97 (avg:  2.86) msec latency
