============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      153961 ops,  156227 (avg:  156227) ops/sec, 13.23MB/sec (avg: 13.23MB/sec),  2.55 (avg:  2.55) msec latency
[RUN #1 1%,   1 secs]  8 threads:      293703 ops,  139694 (avg:  147899) ops/sec, 11.82MB/sec (avg: 12.52MB/sec),  2.86 (avg:  2.70) msec latency
[RUN #1 1%,   2 secs]  8 threads:      423859 ops,  130128 (avg:  141946) ops/sec, 11.01MB/sec (avg: 12.02MB/sec),  3.07 (avg:  2.81) msec latency
[RUN #1 1%,   3 secs]  8 threads:      530095 ops,  106210 (avg:  132979) ops/sec, 8.99MB/sec (avg: 11.26MB/sec),  3.76 (avg:  3.00) msec latency
[RUN #1 1%,   4 secs]  8 threads:      664070 ops,  133945 (avg:  133173) ops/sec, 11.33MB/sec (avg: 11.27MB/sec),  2.98 (avg:  3.00) msec latency
[RUN #1 2%,   5 secs]  8 threads:      793755 ops,  129610 (avg:  132577) ops/sec, 10.97MB/sec (avg: 11.22MB/sec),  3.08 (avg:  3.01) msec latency
[RUN #1 2%,   6 secs]  8 threads:      900698 ops,  106920 (avg:  128904) ops/sec, 9.05MB/sec (avg: 10.91MB/sec),  3.73 (avg:  3.10) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1037013 ops,  136284 (avg:  129829) ops/sec, 11.54MB/sec (avg: 10.99MB/sec),  2.93 (avg:  3.08) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1163134 ops,  126090 (avg:  129413) ops/sec, 10.68MB/sec (avg: 10.96MB/sec),  3.17 (avg:  3.09) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1281042 ops,  117882 (avg:  128258) ops/sec, 9.98MB/sec (avg: 10.86MB/sec),  3.39 (avg:  3.11) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1405003 ops,  123930 (avg:  127864) ops/sec, 10.49MB/sec (avg: 10.82MB/sec),  3.22 (avg:  3.12) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1551690 ops,  146650 (avg:  129431) ops/sec, 12.42MB/sec (avg: 10.96MB/sec),  2.72 (avg:  3.08) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1658838 ops,  107126 (avg:  127714) ops/sec, 9.07MB/sec (avg: 10.81MB/sec),  3.73 (avg:  3.13) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1756155 ops,   97294 (avg:  125539) ops/sec, 8.24MB/sec (avg: 10.63MB/sec),  4.10 (avg:  3.18) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1855823 ops,   99583 (avg:  123805) ops/sec, 8.43MB/sec (avg: 10.48MB/sec),  4.01 (avg:  3.22) msec latency
[RUN #1 4%,  15 secs]  8 threads:     1993603 ops,  137749 (avg:  124678) ops/sec, 11.67MB/sec (avg: 10.56MB/sec),  2.90 (avg:  3.20) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2133017 ops,  139383 (avg:  125543) ops/sec, 11.80MB/sec (avg: 10.63MB/sec),  2.86 (avg:  3.18) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2259993 ops,  126948 (avg:  125621) ops/sec, 10.75MB/sec (avg: 10.64MB/sec),  3.15 (avg:  3.18) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2389900 ops,  129877 (avg:  125846) ops/sec, 11.00MB/sec (avg: 10.65MB/sec),  3.07 (avg:  3.17) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2521444 ops,  131516 (avg:  126129) ops/sec, 11.14MB/sec (avg: 10.68MB/sec),  3.04 (avg:  3.17) msec latency
[RUN #1 5%,  20 secs]  8 threads:     2653884 ops,  132412 (avg:  126429) ops/sec, 11.21MB/sec (avg: 10.70MB/sec),  3.01 (avg:  3.16) msec latency
[RUN #1 6%,  21 secs]  8 threads:     2796554 ops,  142637 (avg:  127166) ops/sec, 12.07MB/sec (avg: 10.77MB/sec),  2.80 (avg:  3.14) msec latency
[RUN #1 6%,  22 secs]  8 threads:     2940830 ops,  144244 (avg:  127909) ops/sec, 12.21MB/sec (avg: 10.83MB/sec),  2.77 (avg:  3.12) msec latency
[RUN #1 6%,  23 secs]  8 threads:     3067845 ops,  126987 (avg:  127870) ops/sec, 10.75MB/sec (avg: 10.83MB/sec),  3.14 (avg:  3.12) msec latency
[RUN #1 6%,  24 secs]  8 threads:     3176065 ops,  108193 (avg:  127083) ops/sec, 9.16MB/sec (avg: 10.76MB/sec),  3.69 (avg:  3.14) msec latency
[RUN #1 7%,  25 secs]  8 threads:     3274728 ops,   98635 (avg:  125988) ops/sec, 8.35MB/sec (avg: 10.67MB/sec),  4.05 (avg:  3.17) msec latency
[RUN #1 7%,  26 secs]  8 threads:     3388023 ops,  113268 (avg:  125517) ops/sec, 9.59MB/sec (avg: 10.63MB/sec),  3.53 (avg:  3.18) msec latency
[RUN #1 7%,  27 secs]  8 threads:     3493387 ops,  105339 (avg:  124796) ops/sec, 8.92MB/sec (avg: 10.57MB/sec),  3.79 (avg:  3.20) msec latency
[RUN #1 7%,  28 secs]  8 threads:     3597215 ops,  103805 (avg:  124072) ops/sec, 8.79MB/sec (avg: 10.50MB/sec),  3.85 (avg:  3.22) msec latency
[RUN #1 7%,  29 secs]  8 threads:     3692073 ops,   94834 (avg:  123097) ops/sec, 8.03MB/sec (avg: 10.42MB/sec),  4.21 (avg:  3.24) msec latency
[RUN #1 8%,  30 secs]  8 threads:     3820511 ops,  128407 (avg:  123268) ops/sec, 10.87MB/sec (avg: 10.44MB/sec),  3.11 (avg:  3.24) msec latency
[RUN #1 8%,  31 secs]  8 threads:     3964613 ops,  144070 (avg:  123918) ops/sec, 12.19MB/sec (avg: 10.49MB/sec),  2.77 (avg:  3.22) msec latency
[RUN #1 8%,  32 secs]  8 threads:     4105618 ops,  140973 (avg:  124435) ops/sec, 11.94MB/sec (avg: 10.53MB/sec),  2.83 (avg:  3.21) msec latency
[RUN #1 8%,  33 secs]  8 threads:     4219039 ops,  113394 (avg:  124110) ops/sec, 9.60MB/sec (avg: 10.51MB/sec),  3.52 (avg:  3.22) msec latency
[RUN #1 9%,  34 secs]  8 threads:     4339878 ops,  120812 (avg:  124016) ops/sec, 10.23MB/sec (avg: 10.50MB/sec),  3.30 (avg:  3.22) msec latency
[RUN #1 9%,  35 secs]  8 threads:     4470427 ops,  130519 (avg:  124197) ops/sec, 11.05MB/sec (avg: 10.51MB/sec),  3.06 (avg:  3.21) msec latency
[RUN #1 9%,  36 secs]  8 threads:     4615054 ops,  144591 (avg:  124748) ops/sec, 12.24MB/sec (avg: 10.56MB/sec),  2.76 (avg:  3.20) msec latency
[RUN #1 10%,  37 secs]  8 threads:     4759145 ops,  144055 (avg:  125257) ops/sec, 12.19MB/sec (avg: 10.60MB/sec),  2.77 (avg:  3.19) msec latency
[RUN #1 10%,  38 secs]  8 threads:     4898919 ops,  139741 (avg:  125628) ops/sec, 11.83MB/sec (avg: 10.64MB/sec),  2.86 (avg:  3.18) msec latency
[RUN #1 10%,  39 secs]  8 threads:     5019430 ops,  120486 (avg:  125500) ops/sec, 10.20MB/sec (avg: 10.62MB/sec),  3.31 (avg:  3.18) msec latency
[RUN #1 10%,  40 secs]  8 threads:     5148424 ops,  128966 (avg:  125584) ops/sec, 10.92MB/sec (avg: 10.63MB/sec),  3.10 (avg:  3.18) msec latency
[RUN #1 11%,  41 secs]  8 threads:     5285258 ops,  136803 (avg:  125851) ops/sec, 11.58MB/sec (avg: 10.65MB/sec),  2.92 (avg:  3.17) msec latency
[RUN #1 11%,  42 secs]  8 threads:     5424942 ops,  139656 (avg:  126172) ops/sec, 11.82MB/sec (avg: 10.68MB/sec),  2.86 (avg:  3.16) msec latency
[RUN #1 11%,  43 secs]  8 threads:     5552361 ops,  127391 (avg:  126200) ops/sec, 10.79MB/sec (avg: 10.68MB/sec),  3.13 (avg:  3.16) msec latency
[RUN #1 11%,  44 secs]  8 threads:     5678644 ops,  126255 (avg:  126201) ops/sec, 10.69MB/sec (avg: 10.68MB/sec),  3.16 (avg:  3.16) msec latency
[RUN #1 12%,  45 secs]  8 threads:     5803849 ops,  125179 (avg:  126179) ops/sec, 10.60MB/sec (avg: 10.68MB/sec),  3.19 (avg:  3.16) msec latency
[RUN #1 12%,  46 secs]  8 threads:     5942334 ops,  138455 (avg:  126440) ops/sec, 11.72MB/sec (avg: 10.70MB/sec),  2.88 (avg:  3.16) msec latency
[RUN #1 12%,  47 secs]  8 threads:     6074313 ops,  131951 (avg:  126555) ops/sec, 11.18MB/sec (avg: 10.71MB/sec),  3.03 (avg:  3.16) msec latency
[RUN #1 12%,  48 secs]  8 threads:     6203854 ops,  129514 (avg:  126616) ops/sec, 10.97MB/sec (avg: 10.72MB/sec),  3.08 (avg:  3.15) msec latency
[RUN #1 13%,  49 secs]  8 threads:     6324534 ops,  120654 (avg:  126496) ops/sec, 10.22MB/sec (avg: 10.71MB/sec),  3.30 (avg:  3.16) msec latency
[RUN #1 13%,  50 secs]  8 threads:     6419012 ops,   94456 (avg:  125868) ops/sec, 8.00MB/sec (avg: 10.66MB/sec),  4.23 (avg:  3.17) msec latency
[RUN #1 13%,  51 secs]  8 threads:     6537289 ops,  118250 (avg:  125721) ops/sec, 10.01MB/sec (avg: 10.64MB/sec),  3.37 (avg:  3.18) msec latency
[RUN #1 13%,  52 secs]  8 threads:     6660708 ops,  123390 (avg:  125677) ops/sec, 10.44MB/sec (avg: 10.64MB/sec),  3.24 (avg:  3.18) msec latency
[RUN #1 14%,  53 secs]  8 threads:     6752075 ops,   91343 (avg:  125041) ops/sec, 7.73MB/sec (avg: 10.59MB/sec),  4.37 (avg:  3.19) msec latency
[RUN #1 14%,  54 secs]  8 threads:     6838652 ops,   86558 (avg:  124342) ops/sec, 7.33MB/sec (avg: 10.53MB/sec),  4.62 (avg:  3.21) msec latency
[RUN #1 14%,  55 secs]  8 threads:     6935586 ops,   96913 (avg:  123852) ops/sec, 8.21MB/sec (avg: 10.49MB/sec),  4.12 (avg:  3.22) msec latency
[RUN #1 14%,  56 secs]  8 threads:     7044852 ops,  109241 (avg:  123595) ops/sec, 9.25MB/sec (avg: 10.46MB/sec),  3.65 (avg:  3.23) msec latency
[RUN #1 14%,  57 secs]  8 threads:     7148189 ops,  103311 (avg:  123245) ops/sec, 8.75MB/sec (avg: 10.43MB/sec),  3.87 (avg:  3.24) msec latency
[RUN #1 14%,  58 secs]  8 threads:     7236656 ops,   88448 (avg:  122656) ops/sec, 7.49MB/sec (avg: 10.38MB/sec),  4.52 (avg:  3.26) msec latency
[RUN #1 15%,  59 secs]  8 threads:     7320795 ops,   84122 (avg:  122013) ops/sec, 7.12MB/sec (avg: 10.33MB/sec),  4.75 (avg:  3.27) msec latency
[RUN #1 15%,  61 secs]  8 threads:     7441623 ops,  120800 (avg:  121993) ops/sec, 10.22MB/sec (avg: 10.33MB/sec),  3.31 (avg:  3.27) msec latency
[RUN #1 15%,  62 secs]  8 threads:     7582183 ops,  140528 (avg:  122292) ops/sec, 11.89MB/sec (avg: 10.35MB/sec),  2.84 (avg:  3.27) msec latency
[RUN #1 15%,  63 secs]  8 threads:     7724799 ops,  142586 (avg:  122614) ops/sec, 12.07MB/sec (avg: 10.38MB/sec),  2.80 (avg:  3.26) msec latency
[RUN #1 16%,  64 secs]  8 threads:     7854896 ops,  130067 (avg:  122731) ops/sec, 11.01MB/sec (avg: 10.39MB/sec),  3.07 (avg:  3.25) msec latency
[RUN #1 16%,  65 secs]  8 threads:     7981827 ops,  126897 (avg:  122795) ops/sec, 10.74MB/sec (avg: 10.40MB/sec),  3.14 (avg:  3.25) msec latency
[RUN #1 16%,  66 secs]  8 threads:     8087592 ops,  105739 (avg:  122537) ops/sec, 8.95MB/sec (avg: 10.37MB/sec),  3.80 (avg:  3.26) msec latency
[RUN #1 16%,  67 secs]  8 threads:     8241937 ops,  154307 (avg:  123011) ops/sec, 13.07MB/sec (avg: 10.41MB/sec),  2.57 (avg:  3.25) msec latency
[RUN #1 17%,  68 secs]  8 threads:     8389107 ops,  147138 (avg:  123366) ops/sec, 12.46MB/sec (avg: 10.44MB/sec),  2.71 (avg:  3.24) msec latency
[RUN #1 17%,  69 secs]  8 threads:     8526643 ops,  137506 (avg:  123571) ops/sec, 11.64MB/sec (avg: 10.46MB/sec),  2.90 (avg:  3.23) msec latency
[RUN #1 17%,  70 secs]  8 threads:     8646324 ops,  119653 (avg:  123515) ops/sec, 10.13MB/sec (avg: 10.46MB/sec),  3.34 (avg:  3.23) msec latency
[RUN #1 18%,  71 secs]  8 threads:     8770437 ops,  124088 (avg:  123523) ops/sec, 10.50MB/sec (avg: 10.46MB/sec),  3.21 (avg:  3.23) msec latency
[RUN #1 18%,  72 secs]  8 threads:     8925382 ops,  154911 (avg:  123959) ops/sec, 13.11MB/sec (avg: 10.49MB/sec),  2.58 (avg:  3.22) msec latency
[RUN #1 18%,  73 secs]  8 threads:     9078511 ops,  153091 (avg:  124358) ops/sec, 12.97MB/sec (avg: 10.53MB/sec),  2.60 (avg:  3.21) msec latency
[RUN #1 18%,  74 secs]  8 threads:     9211719 ops,  133179 (avg:  124477) ops/sec, 11.27MB/sec (avg: 10.54MB/sec),  3.01 (avg:  3.21) msec latency
[RUN #1 19%,  75 secs]  8 threads:     9347418 ops,  135669 (avg:  124626) ops/sec, 11.48MB/sec (avg: 10.55MB/sec),  2.93 (avg:  3.20) msec latency
[RUN #1 19%,  76 secs]  8 threads:     9480444 ops,  132995 (avg:  124737) ops/sec, 11.26MB/sec (avg: 10.56MB/sec),  3.01 (avg:  3.20) msec latency
[RUN #1 19%,  77 secs]  8 threads:     9636952 ops,  156476 (avg:  125149) ops/sec, 13.25MB/sec (avg: 10.60MB/sec),  2.56 (avg:  3.19) msec latency
[RUN #1 20%,  78 secs]  8 threads:     9780102 ops,  143121 (avg:  125379) ops/sec, 12.12MB/sec (avg: 10.61MB/sec),  2.79 (avg:  3.18) msec latency
[RUN #1 20%,  79 secs]  8 threads:     9904705 ops,  124576 (avg:  125369) ops/sec, 10.55MB/sec (avg: 10.61MB/sec),  3.21 (avg:  3.19) msec latency
[RUN #1 20%,  80 secs]  8 threads:    10031504 ops,  126771 (avg:  125387) ops/sec, 10.74MB/sec (avg: 10.62MB/sec),  3.15 (avg:  3.18) msec latency
