Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      140621 ops,  141713 (avg:  141713) ops/sec, 13.40MB/sec (avg: 13.40MB/sec),  2.81 (avg:  2.81) msec latency
[RUN #1 1%,   1 secs]  8 threads:      271592 ops,  130935 (avg:  136302) ops/sec, 12.38MB/sec (avg: 12.89MB/sec),  3.05 (avg:  2.93) msec latency
[RUN #1 1%,   2 secs]  8 threads:      390086 ops,  118464 (avg:  130341) ops/sec, 11.20MB/sec (avg: 12.32MB/sec),  3.37 (avg:  3.06) msec latency
[RUN #1 1%,   3 secs]  8 threads:      492802 ops,  102690 (avg:  123414) ops/sec, 9.71MB/sec (avg: 11.67MB/sec),  3.89 (avg:  3.23) msec latency
[RUN #1 1%,   4 secs]  8 threads:      594478 ops,  101647 (avg:  119054) ops/sec, 9.61MB/sec (avg: 11.26MB/sec),  3.93 (avg:  3.35) msec latency
[RUN #1 1%,   5 secs]  8 threads:      688503 ops,   94002 (avg:  114873) ops/sec, 8.89MB/sec (avg: 10.86MB/sec),  4.25 (avg:  3.48) msec latency
[RUN #1 2%,   6 secs]  8 threads:      801668 ops,  113140 (avg:  114625) ops/sec, 10.70MB/sec (avg: 10.84MB/sec),  3.53 (avg:  3.48) msec latency
[RUN #1 2%,   7 secs]  8 threads:      915423 ops,  113729 (avg:  114513) ops/sec, 10.76MB/sec (avg: 10.83MB/sec),  3.52 (avg:  3.49) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1017478 ops,  102021 (avg:  113124) ops/sec, 9.65MB/sec (avg: 10.70MB/sec),  3.91 (avg:  3.53) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1115012 ops,   97509 (avg:  111561) ops/sec, 9.22MB/sec (avg: 10.55MB/sec),  4.09 (avg:  3.58) msec latency
[RUN #1 2%,  10 secs]  8 threads:     1214473 ops,   99439 (avg:  110458) ops/sec, 9.41MB/sec (avg: 10.45MB/sec),  4.01 (avg:  3.61) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1333755 ops,  119227 (avg:  111190) ops/sec, 11.28MB/sec (avg: 10.51MB/sec),  3.35 (avg:  3.59) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1452821 ops,  119040 (avg:  111794) ops/sec, 11.26MB/sec (avg: 10.57MB/sec),  3.35 (avg:  3.57) msec latency
