Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      144917 ops,  145162 (avg:  145162) ops/sec, 14.62MB/sec (avg: 14.62MB/sec),  2.74 (avg:  2.74) msec latency
[RUN #1 1%,   1 secs]  8 threads:      282965 ops,  137974 (avg:  141564) ops/sec, 13.90MB/sec (avg: 14.26MB/sec),  2.90 (avg:  2.82) msec latency
[RUN #1 1%,   2 secs]  8 threads:      416712 ops,  133717 (avg:  138947) ops/sec, 13.47MB/sec (avg: 14.00MB/sec),  2.98 (avg:  2.87) msec latency
[RUN #1 1%,   3 secs]  8 threads:      561341 ops,  144595 (avg:  140359) ops/sec, 14.57MB/sec (avg: 14.14MB/sec),  2.76 (avg:  2.84) msec latency
[RUN #1 1%,   4 secs]  8 threads:      703902 ops,  142528 (avg:  140793) ops/sec, 14.36MB/sec (avg: 14.18MB/sec),  2.80 (avg:  2.83) msec latency
[RUN #1 2%,   5 secs]  8 threads:      845642 ops,  141709 (avg:  140946) ops/sec, 14.29MB/sec (avg: 14.20MB/sec),  2.82 (avg:  2.83) msec latency
[RUN #1 2%,   6 secs]  8 threads:      987754 ops,  142081 (avg:  141108) ops/sec, 14.31MB/sec (avg: 14.22MB/sec),  2.81 (avg:  2.83) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1126945 ops,  139157 (avg:  140864) ops/sec, 14.03MB/sec (avg: 14.19MB/sec),  2.87 (avg:  2.83) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1263830 ops,  136762 (avg:  140408) ops/sec, 13.78MB/sec (avg: 14.15MB/sec),  2.92 (avg:  2.84) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1390428 ops,  126569 (avg:  139024) ops/sec, 12.75MB/sec (avg: 14.01MB/sec),  3.15 (avg:  2.87) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1526607 ops,  136151 (avg:  138763) ops/sec, 13.72MB/sec (avg: 13.98MB/sec),  2.93 (avg:  2.88) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1660933 ops,  134298 (avg:  138391) ops/sec, 13.53MB/sec (avg: 13.95MB/sec),  2.97 (avg:  2.88) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1799018 ops,  138055 (avg:  138365) ops/sec, 13.91MB/sec (avg: 13.94MB/sec),  2.89 (avg:  2.88) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1940877 ops,  141819 (avg:  138612) ops/sec, 14.29MB/sec (avg: 13.97MB/sec),  2.81 (avg:  2.88) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2078835 ops,  137928 (avg:  138566) ops/sec, 13.90MB/sec (avg: 13.96MB/sec),  2.89 (avg:  2.88) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2219472 ops,  140604 (avg:  138693) ops/sec, 14.18MB/sec (avg: 13.98MB/sec),  2.83 (avg:  2.88) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2359280 ops,  139778 (avg:  138757) ops/sec, 14.08MB/sec (avg: 13.98MB/sec),  2.86 (avg:  2.88) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2484818 ops,  125512 (avg:  138021) ops/sec, 12.64MB/sec (avg: 13.91MB/sec),  3.18 (avg:  2.89) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2630464 ops,  145614 (avg:  138421) ops/sec, 14.67MB/sec (avg: 13.95MB/sec),  2.74 (avg:  2.88) msec latency
[RUN #1 6%,  20 secs]  8 threads:     2779936 ops,  149435 (avg:  138972) ops/sec, 15.06MB/sec (avg: 14.00MB/sec),  2.67 (avg:  2.87) msec latency
[RUN #1 6%,  21 secs]  8 threads:     2922610 ops,  142636 (avg:  139146) ops/sec, 14.38MB/sec (avg: 14.02MB/sec),  2.80 (avg:  2.87) msec latency
[RUN #1 6%,  22 secs]  8 threads:     3066790 ops,  144147 (avg:  139374) ops/sec, 14.52MB/sec (avg: 14.05MB/sec),  2.77 (avg:  2.86) msec latency
