Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      149637 ops,  149648 (avg:  149648) ops/sec, 13.60MB/sec (avg: 13.60MB/sec),  2.67 (avg:  2.67) msec latency
[RUN #1 1%,   2 secs]  8 threads:      261678 ops,  111997 (avg:  130819) ops/sec, 10.18MB/sec (avg: 11.89MB/sec),  3.56 (avg:  3.05) msec latency
[RUN #1 1%,   3 secs]  8 threads:      373413 ops,  111709 (avg:  124449) ops/sec, 10.15MB/sec (avg: 11.31MB/sec),  3.58 (avg:  3.21) msec latency
[RUN #1 1%,   4 secs]  8 threads:      509154 ops,  135709 (avg:  127264) ops/sec, 12.33MB/sec (avg: 11.56MB/sec),  2.94 (avg:  3.14) msec latency
[RUN #1 1%,   5 secs]  8 threads:      632181 ops,  123000 (avg:  126411) ops/sec, 11.18MB/sec (avg: 11.49MB/sec),  3.24 (avg:  3.16) msec latency
[RUN #1 1%,   6 secs]  8 threads:      747240 ops,  115034 (avg:  124515) ops/sec, 10.45MB/sec (avg: 11.31MB/sec),  3.47 (avg:  3.21) msec latency
[RUN #1 2%,   7 secs]  8 threads:      866682 ops,  119417 (avg:  123787) ops/sec, 10.85MB/sec (avg: 11.25MB/sec),  3.34 (avg:  3.23) msec latency
[RUN #1 2%,   8 secs]  8 threads:      981880 ops,  115173 (avg:  122710) ops/sec, 10.47MB/sec (avg: 11.15MB/sec),  3.47 (avg:  3.25) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1098865 ops,  116956 (avg:  122071) ops/sec, 10.63MB/sec (avg: 11.09MB/sec),  3.42 (avg:  3.27) msec latency
[RUN #1 2%,  10 secs]  8 threads:     1214060 ops,  115168 (avg:  121380) ops/sec, 10.46MB/sec (avg: 11.03MB/sec),  3.47 (avg:  3.29) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1335923 ops,  121836 (avg:  121422) ops/sec, 11.07MB/sec (avg: 11.03MB/sec),  3.28 (avg:  3.29) msec latency
