============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      140007 ops,  141100 (avg:  141100) ops/sec, 12.48MB/sec (avg: 12.48MB/sec),  2.83 (avg:  2.83) msec latency
[RUN #1 1%,   1 secs]  8 threads:      298230 ops,  158165 (avg:  149667) ops/sec, 13.99MB/sec (avg: 13.24MB/sec),  2.52 (avg:  2.67) msec latency
[RUN #1 1%,   2 secs]  8 threads:      419530 ops,  121267 (avg:  140176) ops/sec, 10.73MB/sec (avg: 12.40MB/sec),  3.29 (avg:  2.85) msec latency
[RUN #1 1%,   3 secs]  8 threads:      554675 ops,  135116 (avg:  138908) ops/sec, 11.95MB/sec (avg: 12.29MB/sec),  2.95 (avg:  2.87) msec latency
[RUN #1 1%,   4 secs]  8 threads:      679446 ops,  124744 (avg:  136071) ops/sec, 11.04MB/sec (avg: 12.04MB/sec),  3.20 (avg:  2.93) msec latency
[RUN #1 2%,   5 secs]  8 threads:      811661 ops,  132188 (avg:  135423) ops/sec, 11.70MB/sec (avg: 11.98MB/sec),  3.02 (avg:  2.95) msec latency
[RUN #1 2%,   6 secs]  8 threads:      945651 ops,  133962 (avg:  135214) ops/sec, 11.85MB/sec (avg: 11.96MB/sec),  2.98 (avg:  2.95) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1081590 ops,  135908 (avg:  135301) ops/sec, 12.03MB/sec (avg: 11.97MB/sec),  2.94 (avg:  2.95) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1218261 ops,  136639 (avg:  135450) ops/sec, 12.09MB/sec (avg: 11.98MB/sec),  2.92 (avg:  2.95) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1377484 ops,  159187 (avg:  137825) ops/sec, 14.08MB/sec (avg: 12.19MB/sec),  2.51 (avg:  2.90) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1516534 ops,  139020 (avg:  137934) ops/sec, 12.30MB/sec (avg: 12.20MB/sec),  2.87 (avg:  2.89) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1669791 ops,  153218 (avg:  139208) ops/sec, 13.56MB/sec (avg: 12.32MB/sec),  2.61 (avg:  2.87) msec latency
[RUN #1 4%,  12 secs]  8 threads:     1800094 ops,  130272 (avg:  138521) ops/sec, 11.53MB/sec (avg: 12.26MB/sec),  3.07 (avg:  2.88) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1928144 ops,  128020 (avg:  137770) ops/sec, 11.33MB/sec (avg: 12.19MB/sec),  3.12 (avg:  2.90) msec latency
[RUN #1 4%,  14 secs]  8 threads:     2051288 ops,  123114 (avg:  136793) ops/sec, 10.89MB/sec (avg: 12.10MB/sec),  3.25 (avg:  2.92) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2177091 ops,  125769 (avg:  136103) ops/sec, 11.13MB/sec (avg: 12.04MB/sec),  3.17 (avg:  2.93) msec latency
[RUN #1 5%,  16 secs]  8 threads:     2327878 ops,  150757 (avg:  136966) ops/sec, 13.34MB/sec (avg: 12.12MB/sec),  2.65 (avg:  2.92) msec latency
