Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      138524 ops,  139599 (avg:  139599) ops/sec, 12.44MB/sec (avg: 12.44MB/sec),  2.86 (avg:  2.86) msec latency
[RUN #1 1%,   1 secs]  8 threads:      261149 ops,  122591 (avg:  131061) ops/sec, 10.93MB/sec (avg: 11.68MB/sec),  3.26 (avg:  3.05) msec latency
[RUN #1 1%,   2 secs]  8 threads:      404294 ops,  143043 (avg:  135067) ops/sec, 12.75MB/sec (avg: 12.04MB/sec),  2.79 (avg:  2.96) msec latency
[RUN #1 1%,   3 secs]  8 threads:      548921 ops,  144589 (avg:  137452) ops/sec, 12.89MB/sec (avg: 12.25MB/sec),  2.76 (avg:  2.91) msec latency
[RUN #1 1%,   4 secs]  8 threads:      692367 ops,  143410 (avg:  138645) ops/sec, 12.78MB/sec (avg: 12.36MB/sec),  2.78 (avg:  2.88) msec latency
[RUN #1 2%,   5 secs]  8 threads:      834821 ops,  142419 (avg:  139275) ops/sec, 12.69MB/sec (avg: 12.41MB/sec),  2.80 (avg:  2.87) msec latency
[RUN #1 2%,   6 secs]  8 threads:      979245 ops,  144386 (avg:  140006) ops/sec, 12.87MB/sec (avg: 12.48MB/sec),  2.76 (avg:  2.85) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1124418 ops,  145135 (avg:  140648) ops/sec, 12.94MB/sec (avg: 12.54MB/sec),  2.75 (avg:  2.84) msec latency
[RUN #1 3%,   8 secs]  8 threads:     1263959 ops,  139506 (avg:  140521) ops/sec, 12.43MB/sec (avg: 12.53MB/sec),  2.86 (avg:  2.84) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1405218 ops,  141227 (avg:  140591) ops/sec, 12.59MB/sec (avg: 12.53MB/sec),  2.83 (avg:  2.84) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1549888 ops,  144633 (avg:  140959) ops/sec, 12.89MB/sec (avg: 12.56MB/sec),  2.76 (avg:  2.83) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1695420 ops,  145497 (avg:  141338) ops/sec, 12.97MB/sec (avg: 12.60MB/sec),  2.75 (avg:  2.83) msec latency
[RUN #1 4%,  12 secs]  8 threads:     1811296 ops,  115852 (avg:  139376) ops/sec, 10.33MB/sec (avg: 12.42MB/sec),  3.45 (avg:  2.86) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1928912 ops,  117584 (avg:  137819) ops/sec, 10.48MB/sec (avg: 12.28MB/sec),  3.40 (avg:  2.90) msec latency
[RUN #1 4%,  14 secs]  8 threads:     2045835 ops,  116878 (avg:  136422) ops/sec, 10.42MB/sec (avg: 12.16MB/sec),  3.42 (avg:  2.93) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2163169 ops,  117307 (avg:  135226) ops/sec, 10.46MB/sec (avg: 12.05MB/sec),  3.40 (avg:  2.95) msec latency
[RUN #1 5%,  16 secs]  8 threads:     2281094 ops,  117901 (avg:  134207) ops/sec, 10.51MB/sec (avg: 11.96MB/sec),  3.38 (avg:  2.98) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2389534 ops,  108385 (avg:  132771) ops/sec, 9.66MB/sec (avg: 11.83MB/sec),  3.69 (avg:  3.01) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2505934 ops,  116374 (avg:  131908) ops/sec, 10.37MB/sec (avg: 11.76MB/sec),  3.43 (avg:  3.03) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2651244 ops,  145277 (avg:  132577) ops/sec, 12.95MB/sec (avg: 11.82MB/sec),  2.75 (avg:  3.01) msec latency
[RUN #1 6%,  20 secs]  8 threads:     2798924 ops,  147599 (avg:  133293) ops/sec, 13.16MB/sec (avg: 11.88MB/sec),  2.70 (avg:  3.00) msec latency
[RUN #1 6%,  21 secs]  8 threads:     2944756 ops,  145798 (avg:  133861) ops/sec, 13.00MB/sec (avg: 11.93MB/sec),  2.74 (avg:  2.98) msec latency
[RUN #1 6%,  22 secs]  8 threads:     3093895 ops,  149104 (avg:  134524) ops/sec, 13.29MB/sec (avg: 11.99MB/sec),  2.68 (avg:  2.97) msec latency
[RUN #1 6%,  23 secs]  8 threads:     3243302 ops,  149325 (avg:  135141) ops/sec, 13.31MB/sec (avg: 12.05MB/sec),  2.67 (avg:  2.95) msec latency
[RUN #1 7%,  24 secs]  8 threads:     3391507 ops,  148175 (avg:  135663) ops/sec, 13.21MB/sec (avg: 12.09MB/sec),  2.70 (avg:  2.94) msec latency
[RUN #1 7%,  25 secs]  8 threads:     3540301 ops,  148761 (avg:  136166) ops/sec, 13.26MB/sec (avg: 12.14MB/sec),  2.69 (avg:  2.93) msec latency
[RUN #1 7%,  26 secs]  8 threads:     3686162 ops,  145831 (avg:  136525) ops/sec, 13.00MB/sec (avg: 12.17MB/sec),  2.74 (avg:  2.92) msec latency
[RUN #1 8%,  28 secs]  8 threads:     3803484 ops,  117298 (avg:  135838) ops/sec, 10.46MB/sec (avg: 12.11MB/sec),  3.40 (avg:  2.94) msec latency
[RUN #1 8%,  29 secs]  8 threads:     3917794 ops,  114279 (avg:  135094) ops/sec, 10.19MB/sec (avg: 12.04MB/sec),  3.50 (avg:  2.96) msec latency
[RUN #1 8%,  30 secs]  8 threads:     4032917 ops,  115098 (avg:  134427) ops/sec, 10.26MB/sec (avg: 11.98MB/sec),  3.47 (avg:  2.97) msec latency
[RUN #1 8%,  31 secs]  8 threads:     4145678 ops,  112737 (avg:  133728) ops/sec, 10.05MB/sec (avg: 11.92MB/sec),  3.55 (avg:  2.99) msec latency
[RUN #1 9%,  32 secs]  8 threads:     4262430 ops,  116726 (avg:  133196) ops/sec, 10.40MB/sec (avg: 11.87MB/sec),  3.42 (avg:  3.00) msec latency
[RUN #1 9%,  33 secs]  8 threads:     4376315 ops,  113861 (avg:  132610) ops/sec, 10.15MB/sec (avg: 11.82MB/sec),  3.50 (avg:  3.01) msec latency
[RUN #1 9%,  34 secs]  8 threads:     4482658 ops,  106317 (avg:  131837) ops/sec, 9.48MB/sec (avg: 11.75MB/sec),  3.76 (avg:  3.03) msec latency
[RUN #1 9%,  35 secs]  8 threads:     4633075 ops,  150385 (avg:  132367) ops/sec, 13.40MB/sec (avg: 11.80MB/sec),  2.65 (avg:  3.02) msec latency
[RUN #1 9%,  36 secs]  8 threads:     4746258 ops,  113156 (avg:  131833) ops/sec, 10.09MB/sec (avg: 11.75MB/sec),  3.53 (avg:  3.03) msec latency
[RUN #1 10%,  37 secs]  8 threads:     4885461 ops,  139173 (avg:  132031) ops/sec, 12.41MB/sec (avg: 11.77MB/sec),  2.87 (avg:  3.02) msec latency
[RUN #1 10%,  38 secs]  8 threads:     4999600 ops,  114004 (avg:  131557) ops/sec, 10.16MB/sec (avg: 11.73MB/sec),  3.50 (avg:  3.04) msec latency
[RUN #1 10%,  39 secs]  8 threads:     5114471 ops,  114845 (avg:  131128) ops/sec, 10.24MB/sec (avg: 11.69MB/sec),  3.48 (avg:  3.05) msec latency
[RUN #1 10%,  40 secs]  8 threads:     5234221 ops,  119722 (avg:  130843) ops/sec, 10.67MB/sec (avg: 11.66MB/sec),  3.34 (avg:  3.05) msec latency
[RUN #1 11%,  41 secs]  8 threads:     5353314 ops,  119065 (avg:  130556) ops/sec, 10.61MB/sec (avg: 11.64MB/sec),  3.35 (avg:  3.06) msec latency
[RUN #1 11%,  42 secs]  8 threads:     5474402 ops,  121059 (avg:  130329) ops/sec, 10.79MB/sec (avg: 11.62MB/sec),  3.30 (avg:  3.06) msec latency
[RUN #1 11%,  43 secs]  8 threads:     5591831 ops,  117404 (avg:  130029) ops/sec, 10.46MB/sec (avg: 11.59MB/sec),  3.40 (avg:  3.07) msec latency
[RUN #1 11%,  44 secs]  8 threads:     5708507 ops,  116649 (avg:  129725) ops/sec, 10.40MB/sec (avg: 11.56MB/sec),  3.43 (avg:  3.08) msec latency
[RUN #1 12%,  45 secs]  8 threads:     5825478 ops,  116945 (avg:  129441) ops/sec, 10.42MB/sec (avg: 11.54MB/sec),  3.42 (avg:  3.08) msec latency
[RUN #1 12%,  46 secs]  8 threads:     5946885 ops,  121379 (avg:  129265) ops/sec, 10.82MB/sec (avg: 11.52MB/sec),  3.29 (avg:  3.09) msec latency
[RUN #1 12%,  47 secs]  8 threads:     6096405 ops,  149483 (avg:  129696) ops/sec, 13.32MB/sec (avg: 11.56MB/sec),  2.67 (avg:  3.08) msec latency
[RUN #1 12%,  48 secs]  8 threads:     6211447 ops,  114972 (avg:  129389) ops/sec, 10.25MB/sec (avg: 11.53MB/sec),  3.47 (avg:  3.09) msec latency
