Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      124866 ops,  125190 (avg:  125190) ops/sec, 11.10MB/sec (avg: 11.10MB/sec),  3.19 (avg:  3.19) msec latency
[RUN #1 1%,   1 secs]  8 threads:      259718 ops,  134817 (avg:  130010) ops/sec, 11.95MB/sec (avg: 11.53MB/sec),  2.96 (avg:  3.07) msec latency
[RUN #1 1%,   2 secs]  8 threads:      396547 ops,  136775 (avg:  132267) ops/sec, 12.13MB/sec (avg: 11.73MB/sec),  2.92 (avg:  3.02) msec latency
[RUN #1 1%,   3 secs]  8 threads:      518852 ops,  122203 (avg:  129749) ops/sec, 10.83MB/sec (avg: 11.50MB/sec),  3.26 (avg:  3.08) msec latency
[RUN #1 1%,   4 secs]  8 threads:      641134 ops,  122250 (avg:  128248) ops/sec, 10.84MB/sec (avg: 11.37MB/sec),  3.27 (avg:  3.11) msec latency
[RUN #1 2%,   5 secs]  8 threads:      763422 ops,  122260 (avg:  127250) ops/sec, 10.84MB/sec (avg: 11.28MB/sec),  3.27 (avg:  3.14) msec latency
[RUN #1 2%,   6 secs]  8 threads:      882766 ops,  119317 (avg:  126116) ops/sec, 10.58MB/sec (avg: 11.18MB/sec),  3.35 (avg:  3.17) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1003694 ops,  120900 (avg:  125464) ops/sec, 10.72MB/sec (avg: 11.12MB/sec),  3.30 (avg:  3.18) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1129559 ops,  125836 (avg:  125505) ops/sec, 11.16MB/sec (avg: 11.13MB/sec),  3.17 (avg:  3.18) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1260233 ops,  130646 (avg:  126019) ops/sec, 11.58MB/sec (avg: 11.17MB/sec),  3.06 (avg:  3.17) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1414490 ops,  154222 (avg:  128584) ops/sec, 13.67MB/sec (avg: 11.40MB/sec),  2.59 (avg:  3.11) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1569563 ops,  155037 (avg:  130789) ops/sec, 13.75MB/sec (avg: 11.60MB/sec),  2.58 (avg:  3.05) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1722433 ops,  152833 (avg:  132485) ops/sec, 13.55MB/sec (avg: 11.75MB/sec),  2.61 (avg:  3.01) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1875232 ops,  152764 (avg:  133933) ops/sec, 13.54MB/sec (avg: 11.87MB/sec),  2.61 (avg:  2.98) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2028579 ops,  153313 (avg:  135225) ops/sec, 13.59MB/sec (avg: 11.99MB/sec),  2.61 (avg:  2.95) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2182552 ops,  153938 (avg:  136395) ops/sec, 13.65MB/sec (avg: 12.09MB/sec),  2.59 (avg:  2.93) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2334810 ops,  152222 (avg:  137326) ops/sec, 13.50MB/sec (avg: 12.18MB/sec),  2.62 (avg:  2.91) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2443319 ops,  108485 (avg:  135724) ops/sec, 9.62MB/sec (avg: 12.03MB/sec),  3.68 (avg:  2.94) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2561899 ops,  118552 (avg:  134820) ops/sec, 10.51MB/sec (avg: 11.95MB/sec),  3.37 (avg:  2.96) msec latency
