============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      123704 ops,  123716 (avg:  123716) ops/sec, 11.54MB/sec (avg: 11.54MB/sec),  3.23 (avg:  3.23) msec latency
[RUN #1 1%,   2 secs]  8 threads:      250064 ops,  126329 (avg:  125023) ops/sec, 11.78MB/sec (avg: 11.66MB/sec),  3.16 (avg:  3.19) msec latency
[RUN #1 1%,   3 secs]  8 threads:      362303 ops,  112103 (avg:  120713) ops/sec, 10.45MB/sec (avg: 11.26MB/sec),  3.56 (avg:  3.31) msec latency
[RUN #1 1%,   4 secs]  8 threads:      476105 ops,  113778 (avg:  118980) ops/sec, 10.61MB/sec (avg: 11.09MB/sec),  3.51 (avg:  3.36) msec latency
[RUN #1 1%,   5 secs]  8 threads:      579011 ops,  102882 (avg:  115760) ops/sec, 9.59MB/sec (avg: 10.79MB/sec),  3.88 (avg:  3.45) msec latency
[RUN #1 1%,   6 secs]  8 threads:      687854 ops,  108819 (avg:  114604) ops/sec, 10.15MB/sec (avg: 10.69MB/sec),  3.67 (avg:  3.48) msec latency
[RUN #1 2%,   7 secs]  8 threads:      801805 ops,  113922 (avg:  114506) ops/sec, 10.62MB/sec (avg: 10.68MB/sec),  3.50 (avg:  3.49) msec latency
[RUN #1 2%,   8 secs]  8 threads:      922855 ops,  121025 (avg:  115321) ops/sec, 11.29MB/sec (avg: 10.75MB/sec),  3.30 (avg:  3.46) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1055288 ops,  132404 (avg:  117219) ops/sec, 12.35MB/sec (avg: 10.93MB/sec),  3.01 (avg:  3.41) msec latency
[RUN #1 2%,  10 secs]  8 threads:     1156763 ops,  101454 (avg:  115643) ops/sec, 9.46MB/sec (avg: 10.78MB/sec),  3.94 (avg:  3.45) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1260292 ops,  103506 (avg:  114539) ops/sec, 9.65MB/sec (avg: 10.68MB/sec),  3.86 (avg:  3.49) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1383605 ops,  123283 (avg:  115268) ops/sec, 11.50MB/sec (avg: 10.75MB/sec),  3.24 (avg:  3.46) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1500535 ops,  116904 (avg:  115394) ops/sec, 10.90MB/sec (avg: 10.76MB/sec),  3.42 (avg:  3.46) msec latency
[RUN #1 3%,  14 secs]  8 threads:     1632451 ops,  131888 (avg:  116572) ops/sec, 12.30MB/sec (avg: 10.87MB/sec),  3.03 (avg:  3.43) msec latency
[RUN #1 4%,  15 secs]  8 threads:     1773402 ops,  140920 (avg:  118195) ops/sec, 13.14MB/sec (avg: 11.02MB/sec),  2.83 (avg:  3.38) msec latency
[RUN #1 4%,  16 secs]  8 threads:     1918110 ops,  144656 (avg:  119849) ops/sec, 13.49MB/sec (avg: 11.18MB/sec),  2.76 (avg:  3.33) msec latency
[RUN #1 4%,  17 secs]  8 threads:     2052438 ops,  134297 (avg:  120699) ops/sec, 12.52MB/sec (avg: 11.25MB/sec),  2.97 (avg:  3.31) msec latency
[RUN #1 4%,  18 secs]  8 threads:     2162136 ops,  109673 (avg:  120086) ops/sec, 10.23MB/sec (avg: 11.20MB/sec),  3.64 (avg:  3.33) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2282977 ops,  120791 (avg:  120123) ops/sec, 11.26MB/sec (avg: 11.20MB/sec),  3.30 (avg:  3.32) msec latency
