Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      121673 ops,  121735 (avg:  121735) ops/sec, 10.85MB/sec (avg: 10.85MB/sec),  3.28 (avg:  3.28) msec latency
[RUN #1 1%,   1 secs]  8 threads:      262108 ops,  140402 (avg:  131072) ops/sec, 12.51MB/sec (avg: 11.68MB/sec),  2.85 (avg:  3.05) msec latency
[RUN #1 1%,   2 secs]  8 threads:      380633 ops,  118499 (avg:  126880) ops/sec, 10.56MB/sec (avg: 11.31MB/sec),  3.37 (avg:  3.15) msec latency
[RUN #1 1%,   4 secs]  8 threads:      493510 ops,  112783 (avg:  123353) ops/sec, 10.05MB/sec (avg: 11.00MB/sec),  3.54 (avg:  3.24) msec latency
[RUN #1 1%,   5 secs]  8 threads:      605345 ops,  111808 (avg:  121044) ops/sec, 9.97MB/sec (avg: 10.79MB/sec),  3.57 (avg:  3.30) msec latency
[RUN #1 1%,   6 secs]  8 threads:      723406 ops,  118034 (avg:  120542) ops/sec, 10.52MB/sec (avg: 10.74MB/sec),  3.38 (avg:  3.31) msec latency
[RUN #1 2%,   7 secs]  8 threads:      843469 ops,  120035 (avg:  120470) ops/sec, 10.70MB/sec (avg: 10.74MB/sec),  3.33 (avg:  3.31) msec latency
[RUN #1 2%,   8 secs]  8 threads:      981513 ops,  138015 (avg:  122663) ops/sec, 12.30MB/sec (avg: 10.93MB/sec),  2.89 (avg:  3.26) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1099711 ops,  118162 (avg:  122163) ops/sec, 10.53MB/sec (avg: 10.89MB/sec),  3.38 (avg:  3.27) msec latency
[RUN #1 2%,  10 secs]  8 threads:     1225156 ops,  125412 (avg:  122488) ops/sec, 11.18MB/sec (avg: 10.92MB/sec),  3.18 (avg:  3.26) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1372857 ops,  147668 (avg:  124777) ops/sec, 13.16MB/sec (avg: 11.12MB/sec),  2.70 (avg:  3.20) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1520753 ops,  147862 (avg:  126701) ops/sec, 13.18MB/sec (avg: 11.29MB/sec),  2.70 (avg:  3.15) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1667888 ops,  147097 (avg:  128270) ops/sec, 13.11MB/sec (avg: 11.43MB/sec),  2.71 (avg:  3.11) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1813754 ops,  145830 (avg:  129524) ops/sec, 13.00MB/sec (avg: 11.55MB/sec),  2.74 (avg:  3.08) msec latency
[RUN #1 4%,  15 secs]  8 threads:     1959918 ops,  146131 (avg:  130631) ops/sec, 13.03MB/sec (avg: 11.64MB/sec),  2.73 (avg:  3.06) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2094086 ops,  134138 (avg:  130850) ops/sec, 11.96MB/sec (avg: 11.66MB/sec),  2.98 (avg:  3.05) msec latency
[RUN #1 4%,  17 secs]  8 threads:     2243563 ops,  149442 (avg:  131944) ops/sec, 13.32MB/sec (avg: 11.76MB/sec),  2.67 (avg:  3.03) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2392652 ops,  149053 (avg:  132894) ops/sec, 13.29MB/sec (avg: 11.85MB/sec),  2.68 (avg:  3.00) msec latency
