Pseudo-terminal will not be allocated because stdin is not a terminal.

============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   1 secs]  8 threads:      131241 ops,  131172 (avg:  131172) ops/sec, 11.79MB/sec (avg: 11.79MB/sec),  3.04 (avg:  3.04) msec latency
[RUN #1 1%,   2 secs]  8 threads:      259600 ops,  128305 (avg:  129739) ops/sec, 11.53MB/sec (avg: 11.66MB/sec),  3.11 (avg:  3.08) msec latency
[RUN #1 1%,   3 secs]  8 threads:      381983 ops,  122353 (avg:  127277) ops/sec, 11.00MB/sec (avg: 11.44MB/sec),  3.27 (avg:  3.14) msec latency
[RUN #1 1%,   4 secs]  8 threads:      505283 ops,  123272 (avg:  126276) ops/sec, 11.08MB/sec (avg: 11.35MB/sec),  3.24 (avg:  3.16) msec latency
[RUN #1 1%,   5 secs]  8 threads:      629586 ops,  124275 (avg:  125876) ops/sec, 11.17MB/sec (avg: 11.32MB/sec),  3.21 (avg:  3.17) msec latency
[RUN #1 2%,   6 secs]  8 threads:      751227 ops,  121615 (avg:  125166) ops/sec, 10.93MB/sec (avg: 11.25MB/sec),  3.29 (avg:  3.19) msec latency
[RUN #1 2%,   7 secs]  8 threads:      874306 ops,  123051 (avg:  124864) ops/sec, 11.06MB/sec (avg: 11.23MB/sec),  3.24 (avg:  3.20) msec latency
[RUN #1 2%,   8 secs]  8 threads:      998961 ops,  124629 (avg:  124834) ops/sec, 11.20MB/sec (avg: 11.22MB/sec),  3.21 (avg:  3.20) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1121948 ops,  122915 (avg:  124621) ops/sec, 11.05MB/sec (avg: 11.20MB/sec),  3.25 (avg:  3.20) msec latency
[RUN #1 2%,  10 secs]  8 threads:     1238190 ops,  116214 (avg:  123780) ops/sec, 10.45MB/sec (avg: 11.13MB/sec),  3.43 (avg:  3.23) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1363245 ops,  125027 (avg:  123894) ops/sec, 11.24MB/sec (avg: 11.14MB/sec),  3.19 (avg:  3.22) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1486956 ops,  123683 (avg:  123876) ops/sec, 11.12MB/sec (avg: 11.14MB/sec),  3.23 (avg:  3.22) msec latency
[RUN #1 3%,  13 secs]  8 threads:     1611940 ops,  124954 (avg:  123959) ops/sec, 11.24MB/sec (avg: 11.14MB/sec),  3.20 (avg:  3.22) msec latency
[RUN #1 3%,  14 secs]  8 threads:     1736617 ops,  124646 (avg:  124008) ops/sec, 11.21MB/sec (avg: 11.15MB/sec),  3.21 (avg:  3.22) msec latency
[RUN #1 4%,  15 secs]  8 threads:     1879692 ops,  143040 (avg:  125277) ops/sec, 12.86MB/sec (avg: 11.26MB/sec),  2.79 (avg:  3.19) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2030222 ops,  150494 (avg:  126853) ops/sec, 13.53MB/sec (avg: 11.40MB/sec),  2.65 (avg:  3.15) msec latency
[RUN #1 4%,  17 secs]  8 threads:     2199494 ops,  169235 (avg:  129346) ops/sec, 15.22MB/sec (avg: 11.63MB/sec),  2.36 (avg:  3.09) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2318194 ops,  118672 (avg:  128753) ops/sec, 10.67MB/sec (avg: 11.58MB/sec),  3.36 (avg:  3.10) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2441591 ops,  123371 (avg:  128470) ops/sec, 11.09MB/sec (avg: 11.55MB/sec),  3.24 (avg:  3.11) msec latency
[RUN #1 5%,  20 secs]  8 threads:     2561023 ops,  119408 (avg:  128017) ops/sec, 10.74MB/sec (avg: 11.51MB/sec),  3.34 (avg:  3.12) msec latency
[RUN #1 5%,  21 secs]  8 threads:     2680945 ops,  119896 (avg:  127630) ops/sec, 10.78MB/sec (avg: 11.47MB/sec),  3.33 (avg:  3.13) msec latency
[RUN #1 6%,  22 secs]  8 threads:     2800552 ops,  119578 (avg:  127264) ops/sec, 10.75MB/sec (avg: 11.44MB/sec),  3.34 (avg:  3.14) msec latency
[RUN #1 6%,  23 secs]  8 threads:     2920775 ops,  120196 (avg:  126957) ops/sec, 10.81MB/sec (avg: 11.41MB/sec),  3.32 (avg:  3.15) msec latency
[RUN #1 6%,  24 secs]  8 threads:     3039360 ops,  118561 (avg:  126607) ops/sec, 10.66MB/sec (avg: 11.38MB/sec),  3.37 (avg:  3.15) msec latency
[RUN #1 6%,  25 secs]  8 threads:     3160816 ops,  121430 (avg:  126400) ops/sec, 10.92MB/sec (avg: 11.36MB/sec),  3.29 (avg:  3.16) msec latency
[RUN #1 7%,  26 secs]  8 threads:     3282402 ops,  121558 (avg:  126214) ops/sec, 10.93MB/sec (avg: 11.35MB/sec),  3.29 (avg:  3.16) msec latency
[RUN #1 7%,  27 secs]  8 threads:     3403183 ops,  120745 (avg:  126011) ops/sec, 10.86MB/sec (avg: 11.33MB/sec),  3.31 (avg:  3.17) msec latency
[RUN #1 7%,  28 secs]  8 threads:     3524275 ops,  121067 (avg:  125834) ops/sec, 10.88MB/sec (avg: 11.31MB/sec),  3.30 (avg:  3.17) msec latency
[RUN #1 7%,  29 secs]  8 threads:     3645362 ops,  121059 (avg:  125670) ops/sec, 10.88MB/sec (avg: 11.30MB/sec),  3.30 (avg:  3.18) msec latency
[RUN #1 8%,  30 secs]  8 threads:     3766372 ops,  120985 (avg:  125514) ops/sec, 10.88MB/sec (avg: 11.28MB/sec),  3.30 (avg:  3.18) msec latency
[RUN #1 8%,  31 secs]  8 threads:     3889121 ops,  122723 (avg:  125424) ops/sec, 11.03MB/sec (avg: 11.28MB/sec),  3.26 (avg:  3.18) msec latency
[RUN #1 8%,  32 secs]  8 threads:     4029849 ops,  140698 (avg:  125901) ops/sec, 12.65MB/sec (avg: 11.32MB/sec),  2.84 (avg:  3.17) msec latency
[RUN #1 8%,  33 secs]  8 threads:     4176968 ops,  147089 (avg:  126543) ops/sec, 13.22MB/sec (avg: 11.38MB/sec),  2.71 (avg:  3.16) msec latency
[RUN #1 9%,  34 secs]  8 threads:     4306902 ops,  129906 (avg:  126642) ops/sec, 11.68MB/sec (avg: 11.39MB/sec),  3.08 (avg:  3.15) msec latency
[RUN #1 9%,  35 secs]  8 threads:     4482755 ops,  175815 (avg:  128047) ops/sec, 15.81MB/sec (avg: 11.51MB/sec),  2.27 (avg:  3.12) msec latency
[RUN #1 9%,  36 secs]  8 threads:     4656510 ops,  173717 (avg:  129315) ops/sec, 15.62MB/sec (avg: 11.63MB/sec),  2.30 (avg:  3.09) msec latency
[RUN #1 10%,  37 secs]  8 threads:     4827848 ops,  171302 (avg:  130450) ops/sec, 15.40MB/sec (avg: 11.73MB/sec),  2.33 (avg:  3.06) msec latency
[RUN #1 10%,  38 secs]  8 threads:     4977848 ops,  149968 (avg:  130964) ops/sec, 13.48MB/sec (avg: 11.77MB/sec),  2.66 (avg:  3.05) msec latency
[RUN #1 10%,  39 secs]  8 threads:     5106951 ops,  129076 (avg:  130915) ops/sec, 11.61MB/sec (avg: 11.77MB/sec),  3.09 (avg:  3.05) msec latency
[RUN #1 10%,  40 secs]  8 threads:     5226848 ops,  119872 (avg:  130639) ops/sec, 10.78MB/sec (avg: 11.75MB/sec),  3.33 (avg:  3.06) msec latency
[RUN #1 11%,  41 secs]  8 threads:     5348067 ops,  121196 (avg:  130409) ops/sec, 10.90MB/sec (avg: 11.72MB/sec),  3.30 (avg:  3.06) msec latency
[RUN #1 11%,  42 secs]  8 threads:     5469987 ops,  121893 (avg:  130206) ops/sec, 10.96MB/sec (avg: 11.71MB/sec),  3.28 (avg:  3.07) msec latency
[RUN #1 11%,  43 secs]  8 threads:     5591154 ops,  121140 (avg:  129995) ops/sec, 10.89MB/sec (avg: 11.69MB/sec),  3.30 (avg:  3.07) msec latency
[RUN #1 11%,  44 secs]  8 threads:     5718606 ops,  127424 (avg:  129937) ops/sec, 11.46MB/sec (avg: 11.68MB/sec),  3.13 (avg:  3.07) msec latency
[RUN #1 12%,  45 secs]  8 threads:     5857125 ops,  138473 (avg:  130127) ops/sec, 12.45MB/sec (avg: 11.70MB/sec),  2.89 (avg:  3.07) msec latency
[RUN #1 12%,  46 secs]  8 threads:     5977797 ops,  120648 (avg:  129921) ops/sec, 10.85MB/sec (avg: 11.68MB/sec),  3.31 (avg:  3.07) msec latency
[RUN #1 12%,  47 secs]  8 threads:     6098940 ops,  121117 (avg:  129733) ops/sec, 10.89MB/sec (avg: 11.66MB/sec),  3.30 (avg:  3.08) msec latency
[RUN #1 12%,  48 secs]  8 threads:     6219524 ops,  120557 (avg:  129542) ops/sec, 10.84MB/sec (avg: 11.65MB/sec),  3.31 (avg:  3.08) msec latency
[RUN #1 13%,  49 secs]  8 threads:     6338429 ops,  118878 (avg:  129324) ops/sec, 10.69MB/sec (avg: 11.63MB/sec),  3.36 (avg:  3.09) msec latency
[RUN #1 13%,  50 secs]  8 threads:     6458361 ops,  119903 (avg:  129136) ops/sec, 10.78MB/sec (avg: 11.61MB/sec),  3.33 (avg:  3.09) msec latency
[RUN #1 13%,  51 secs]  8 threads:     6577499 ops,  119107 (avg:  128939) ops/sec, 10.71MB/sec (avg: 11.59MB/sec),  3.35 (avg:  3.10) msec latency
[RUN #1 13%,  52 secs]  8 threads:     6699382 ops,  121855 (avg:  128803) ops/sec, 10.96MB/sec (avg: 11.58MB/sec),  3.28 (avg:  3.10) msec latency
[RUN #1 14%,  53 secs]  8 threads:     6821779 ops,  122371 (avg:  128682) ops/sec, 11.00MB/sec (avg: 11.57MB/sec),  3.26 (avg:  3.10) msec latency
[RUN #1 14%,  54 secs]  8 threads:     6979750 ops,  157768 (avg:  129221) ops/sec, 14.18MB/sec (avg: 11.62MB/sec),  2.53 (avg:  3.09) msec latency
[RUN #1 14%,  55 secs]  8 threads:     7111594 ops,  131813 (avg:  129268) ops/sec, 11.85MB/sec (avg: 11.62MB/sec),  3.03 (avg:  3.09) msec latency
[RUN #1 14%,  56 secs]  8 threads:     7240220 ops,  128597 (avg:  129256) ops/sec, 11.56MB/sec (avg: 11.62MB/sec),  3.11 (avg:  3.09) msec latency
[RUN #1 15%,  57 secs]  8 threads:     7367836 ops,  127589 (avg:  129227) ops/sec, 11.47MB/sec (avg: 11.62MB/sec),  3.13 (avg:  3.09) msec latency
[RUN #1 15%,  58 secs]  8 threads:     7494732 ops,  126869 (avg:  129186) ops/sec, 11.41MB/sec (avg: 11.61MB/sec),  3.15 (avg:  3.09) msec latency
[RUN #1 15%,  59 secs]  8 threads:     7620906 ops,  126144 (avg:  129135) ops/sec, 11.34MB/sec (avg: 11.61MB/sec),  3.17 (avg:  3.09) msec latency
[RUN #1 15%,  60 secs]  8 threads:     7749609 ops,  128674 (avg:  129127) ops/sec, 11.57MB/sec (avg: 11.61MB/sec),  3.10 (avg:  3.09) msec latency
[RUN #1 16%,  61 secs]  8 threads:     7876085 ops,  126447 (avg:  129083) ops/sec, 11.37MB/sec (avg: 11.61MB/sec),  3.16 (avg:  3.09) msec latency
[RUN #1 16%,  62 secs]  8 threads:     8013159 ops,  137043 (avg:  129211) ops/sec, 12.32MB/sec (avg: 11.62MB/sec),  2.91 (avg:  3.09) msec latency
[RUN #1 16%,  63 secs]  8 threads:     8142703 ops,  129508 (avg:  129216) ops/sec, 11.64MB/sec (avg: 11.62MB/sec),  3.08 (avg:  3.09) msec latency
[RUN #1 17%,  64 secs]  8 threads:     8271282 ops,  128551 (avg:  129206) ops/sec, 11.56MB/sec (avg: 11.62MB/sec),  3.11 (avg:  3.09) msec latency
[RUN #1 17%,  65 secs]  8 threads:     8400809 ops,  129498 (avg:  129210) ops/sec, 11.64MB/sec (avg: 11.62MB/sec),  3.07 (avg:  3.09) msec latency
[RUN #1 17%,  66 secs]  8 threads:     8516312 ops,  115447 (avg:  129002) ops/sec, 10.38MB/sec (avg: 11.60MB/sec),  3.51 (avg:  3.10) msec latency
[RUN #1 17%,  67 secs]  8 threads:     8678434 ops,  162081 (avg:  129495) ops/sec, 14.57MB/sec (avg: 11.64MB/sec),  2.44 (avg:  3.08) msec latency
[RUN #1 18%,  68 secs]  8 threads:     8833451 ops,  154983 (avg:  129870) ops/sec, 13.93MB/sec (avg: 11.68MB/sec),  2.57 (avg:  3.07) msec latency
[RUN #1 18%,  69 secs]  8 threads:     8988895 ops,  155406 (avg:  130240) ops/sec, 13.97MB/sec (avg: 11.71MB/sec),  2.57 (avg:  3.07) msec latency
[RUN #1 18%,  70 secs]  8 threads:     9145006 ops,  156068 (avg:  130609) ops/sec, 14.03MB/sec (avg: 11.74MB/sec),  2.56 (avg:  3.06) msec latency
[RUN #1 19%,  71 secs]  8 threads:     9305636 ops,  160591 (avg:  131031) ops/sec, 14.44MB/sec (avg: 11.78MB/sec),  2.49 (avg:  3.05) msec latency
[RUN #1 19%,  72 secs]  8 threads:     9466410 ops,  160741 (avg:  131444) ops/sec, 14.45MB/sec (avg: 11.82MB/sec),  2.48 (avg:  3.04) msec latency
[RUN #1 19%,  73 secs]  8 threads:     9625659 ops,  159213 (avg:  131824) ops/sec, 14.31MB/sec (avg: 11.85MB/sec),  2.51 (avg:  3.03) msec latency
[RUN #1 20%,  74 secs]  8 threads:     9784769 ops,  159074 (avg:  132193) ops/sec, 14.30MB/sec (avg: 11.89MB/sec),  2.51 (avg:  3.02) msec latency
[RUN #1 20%,  75 secs]  8 threads:     9942266 ops,  157459 (avg:  132530) ops/sec, 14.16MB/sec (avg: 11.92MB/sec),  2.54 (avg:  3.01) msec latency
[RUN #1 20%,  76 secs]  8 threads:    10101327 ops,  159025 (avg:  132878) ops/sec, 14.30MB/sec (avg: 11.95MB/sec),  2.51 (avg:  3.01) msec latency
[RUN #1 20%,  77 secs]  8 threads:    10231759 ops,  130400 (avg:  132846) ops/sec, 11.72MB/sec (avg: 11.94MB/sec),  3.06 (avg:  3.01) msec latency
[RUN #1 21%,  78 secs]  8 threads:    10359606 ops,  127814 (avg:  132781) ops/sec, 11.49MB/sec (avg: 11.94MB/sec),  3.12 (avg:  3.01) msec latency
[RUN #1 21%,  79 secs]  8 threads:    10518516 ops,  158873 (avg:  133112) ops/sec, 14.28MB/sec (avg: 11.97MB/sec),  2.52 (avg:  3.00) msec latency
[RUN #1 21%,  80 secs]  8 threads:    10677017 ops,  158466 (avg:  133429) ops/sec, 14.25MB/sec (avg: 12.00MB/sec),  2.52 (avg:  2.99) msec latency
[RUN #1 22%,  81 secs]  8 threads:    10802378 ops,  125337 (avg:  133329) ops/sec, 11.27MB/sec (avg: 11.99MB/sec),  3.19 (avg:  3.00) msec latency
[RUN #1 22%,  82 secs]  8 threads:    10928035 ops,  125627 (avg:  133235) ops/sec, 11.30MB/sec (avg: 11.98MB/sec),  3.18 (avg:  3.00) msec latency
[RUN #1 22%,  83 secs]  8 threads:    11055578 ops,  127514 (avg:  133166) ops/sec, 11.46MB/sec (avg: 11.97MB/sec),  3.13 (avg:  3.00) msec latency
