============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      154120 ops,  154122 (avg:  154122) ops/sec, 13.64MB/sec (avg: 13.64MB/sec),  2.59 (avg:  2.59) msec latency
[RUN #1 1%,   2 secs]  8 threads:      312560 ops,  158401 (avg:  156262) ops/sec, 14.02MB/sec (avg: 13.83MB/sec),  2.52 (avg:  2.55) msec latency
[RUN #1 1%,   3 secs]  8 threads:      456055 ops,  143460 (avg:  151994) ops/sec, 12.69MB/sec (avg: 13.45MB/sec),  2.79 (avg:  2.63) msec latency
[RUN #1 1%,   4 secs]  8 threads:      573973 ops,  117888 (avg:  143467) ops/sec, 10.43MB/sec (avg: 12.69MB/sec),  3.39 (avg:  2.78) msec latency
[RUN #1 1%,   5 secs]  8 threads:      693494 ops,  119490 (avg:  138671) ops/sec, 10.57MB/sec (avg: 12.27MB/sec),  3.34 (avg:  2.88) msec latency
[RUN #1 2%,   6 secs]  8 threads:      810563 ops,  117042 (avg:  135066) ops/sec, 10.36MB/sec (avg: 11.95MB/sec),  3.41 (avg:  2.96) msec latency
[RUN #1 2%,   7 secs]  8 threads:      931149 ops,  120557 (avg:  132994) ops/sec, 10.67MB/sec (avg: 11.77MB/sec),  3.31 (avg:  3.00) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1051557 ops,  120377 (avg:  131417) ops/sec, 10.65MB/sec (avg: 11.63MB/sec),  3.32 (avg:  3.04) msec latency
[RUN #1 2%,   9 secs]  8 threads:     1171594 ops,  120011 (avg:  130149) ops/sec, 10.62MB/sec (avg: 11.52MB/sec),  3.32 (avg:  3.07) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1330388 ops,  158759 (avg:  133010) ops/sec, 14.05MB/sec (avg: 11.77MB/sec),  2.52 (avg:  3.00) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1495254 ops,  164827 (avg:  135903) ops/sec, 14.58MB/sec (avg: 12.02MB/sec),  2.42 (avg:  2.94) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1658925 ops,  163639 (avg:  138214) ops/sec, 14.48MB/sec (avg: 12.23MB/sec),  2.44 (avg:  2.89) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1823579 ops,  164615 (avg:  140245) ops/sec, 14.57MB/sec (avg: 12.41MB/sec),  2.42 (avg:  2.85) msec latency
