============== Configuration values: ==============
===================================================
Writing results to stdout
[RUN #1] Preparing benchmark client...
[RUN #1] Launching threads now...
[RUN #1 0%,   0 secs]  8 threads:      127132 ops,  128747 (avg:  128747) ops/sec, 11.39MB/sec (avg: 11.39MB/sec),  3.10 (avg:  3.10) msec latency
[RUN #1 1%,   1 secs]  8 threads:      253737 ops,  126576 (avg:  127655) ops/sec, 11.20MB/sec (avg: 11.29MB/sec),  3.16 (avg:  3.13) msec latency
[RUN #1 1%,   2 secs]  8 threads:      393775 ops,  140008 (avg:  131790) ops/sec, 12.39MB/sec (avg: 11.66MB/sec),  2.85 (avg:  3.03) msec latency
[RUN #1 1%,   3 secs]  8 threads:      524443 ops,  130640 (avg:  131502) ops/sec, 11.56MB/sec (avg: 11.64MB/sec),  3.06 (avg:  3.04) msec latency
[RUN #1 1%,   4 secs]  8 threads:      654794 ops,  130321 (avg:  131265) ops/sec, 11.53MB/sec (avg: 11.61MB/sec),  3.06 (avg:  3.04) msec latency
[RUN #1 2%,   5 secs]  8 threads:      782067 ops,  127241 (avg:  130593) ops/sec, 11.26MB/sec (avg: 11.55MB/sec),  3.14 (avg:  3.06) msec latency
[RUN #1 2%,   6 secs]  8 threads:      912918 ops,  130821 (avg:  130625) ops/sec, 11.57MB/sec (avg: 11.56MB/sec),  3.05 (avg:  3.06) msec latency
[RUN #1 2%,   7 secs]  8 threads:     1038104 ops,  125158 (avg:  129941) ops/sec, 11.07MB/sec (avg: 11.50MB/sec),  3.19 (avg:  3.07) msec latency
[RUN #1 2%,   8 secs]  8 threads:     1169815 ops,  131681 (avg:  130134) ops/sec, 11.65MB/sec (avg: 11.51MB/sec),  3.03 (avg:  3.07) msec latency
[RUN #1 3%,   9 secs]  8 threads:     1290496 ops,  120656 (avg:  129185) ops/sec, 10.68MB/sec (avg: 11.43MB/sec),  3.31 (avg:  3.09) msec latency
[RUN #1 3%,  10 secs]  8 threads:     1415678 ops,  124779 (avg:  128783) ops/sec, 11.04MB/sec (avg: 11.39MB/sec),  3.19 (avg:  3.10) msec latency
[RUN #1 3%,  11 secs]  8 threads:     1542869 ops,  127165 (avg:  128648) ops/sec, 11.25MB/sec (avg: 11.38MB/sec),  3.14 (avg:  3.10) msec latency
[RUN #1 3%,  12 secs]  8 threads:     1668210 ops,  125313 (avg:  128391) ops/sec, 11.09MB/sec (avg: 11.36MB/sec),  3.19 (avg:  3.11) msec latency
[RUN #1 4%,  13 secs]  8 threads:     1801268 ops,  133028 (avg:  128723) ops/sec, 11.77MB/sec (avg: 11.39MB/sec),  3.00 (avg:  3.10) msec latency
[RUN #1 4%,  14 secs]  8 threads:     1926748 ops,  125451 (avg:  128505) ops/sec, 11.10MB/sec (avg: 11.37MB/sec),  3.18 (avg:  3.11) msec latency
[RUN #1 4%,  15 secs]  8 threads:     2056040 ops,  129259 (avg:  128552) ops/sec, 11.44MB/sec (avg: 11.37MB/sec),  3.09 (avg:  3.11) msec latency
[RUN #1 4%,  16 secs]  8 threads:     2183935 ops,  127867 (avg:  128511) ops/sec, 11.31MB/sec (avg: 11.37MB/sec),  3.12 (avg:  3.11) msec latency
[RUN #1 5%,  17 secs]  8 threads:     2302773 ops,  118813 (avg:  127972) ops/sec, 10.51MB/sec (avg: 11.32MB/sec),  3.36 (avg:  3.12) msec latency
[RUN #1 5%,  18 secs]  8 threads:     2432767 ops,  129964 (avg:  128077) ops/sec, 11.50MB/sec (avg: 11.33MB/sec),  3.07 (avg:  3.12) msec latency
[RUN #1 5%,  19 secs]  8 threads:     2556813 ops,  124010 (avg:  127874) ops/sec, 10.97MB/sec (avg: 11.31MB/sec),  3.22 (avg:  3.12) msec latency
[RUN #1 5%,  20 secs]  8 threads:     2681295 ops,  123994 (avg:  127688) ops/sec, 10.97MB/sec (avg: 11.30MB/sec),  3.21 (avg:  3.13) msec latency
[RUN #1 6%,  21 secs]  8 threads:     2806192 ops,  124868 (avg:  127560) ops/sec, 11.05MB/sec (avg: 11.29MB/sec),  3.20 (avg:  3.13) msec latency
[RUN #1 6%,  22 secs]  8 threads:     2932273 ops,  126054 (avg:  127495) ops/sec, 11.15MB/sec (avg: 11.28MB/sec),  3.17 (avg:  3.13) msec latency
[RUN #1 6%,  23 secs]  8 threads:     3058506 ops,  126206 (avg:  127441) ops/sec, 11.17MB/sec (avg: 11.28MB/sec),  3.17 (avg:  3.13) msec latency
[RUN #1 6%,  24 secs]  8 threads:     3185472 ops,  126938 (avg:  127421) ops/sec, 11.23MB/sec (avg: 11.27MB/sec),  3.14 (avg:  3.13) msec latency
[RUN #1 7%,  25 secs]  8 threads:     3311682 ops,  126182 (avg:  127373) ops/sec, 11.16MB/sec (avg: 11.27MB/sec),  3.17 (avg:  3.13) msec latency
[RUN #1 7%,  27 secs]  8 threads:     3437605 ops,  125893 (avg:  127318) ops/sec, 11.14MB/sec (avg: 11.27MB/sec),  3.17 (avg:  3.14) msec latency
[RUN #1 7%,  28 secs]  8 threads:     3562739 ops,  125105 (avg:  127239) ops/sec, 11.07MB/sec (avg: 11.26MB/sec),  3.19 (avg:  3.14) msec latency
[RUN #1 7%,  29 secs]  8 threads:     3686462 ops,  123694 (avg:  127117) ops/sec, 10.94MB/sec (avg: 11.25MB/sec),  3.23 (avg:  3.14) msec latency
[RUN #1 8%,  30 secs]  8 threads:     3809483 ops,  122993 (avg:  126979) ops/sec, 10.88MB/sec (avg: 11.24MB/sec),  3.25 (avg:  3.14) msec latency
[RUN #1 8%,  31 secs]  8 threads:     3933047 ops,  123538 (avg:  126868) ops/sec, 10.93MB/sec (avg: 11.23MB/sec),  3.23 (avg:  3.15) msec latency
[RUN #1 8%,  32 secs]  8 threads:     4054401 ops,  121328 (avg:  126695) ops/sec, 10.74MB/sec (avg: 11.21MB/sec),  3.30 (avg:  3.15) msec latency
[RUN #1 8%,  33 secs]  8 threads:     4178352 ops,  123878 (avg:  126610) ops/sec, 10.96MB/sec (avg: 11.20MB/sec),  3.21 (avg:  3.15) msec latency
[RUN #1 9%,  34 secs]  8 threads:     4285024 ops,  106647 (avg:  126023) ops/sec, 9.44MB/sec (avg: 11.15MB/sec),  3.76 (avg:  3.17) msec latency
[RUN #1 9%,  35 secs]  8 threads:     4416782 ops,  131730 (avg:  126186) ops/sec, 11.66MB/sec (avg: 11.16MB/sec),  3.02 (avg:  3.16) msec latency
[RUN #1 9%,  36 secs]  8 threads:     4544773 ops,  127964 (avg:  126235) ops/sec, 11.32MB/sec (avg: 11.17MB/sec),  3.12 (avg:  3.16) msec latency
[RUN #1 9%,  37 secs]  8 threads:     4692426 ops,  147602 (avg:  126813) ops/sec, 13.06MB/sec (avg: 11.22MB/sec),  2.71 (avg:  3.15) msec latency
[RUN #1 10%,  38 secs]  8 threads:     4821923 ops,  129466 (avg:  126883) ops/sec, 11.46MB/sec (avg: 11.23MB/sec),  3.08 (avg:  3.15) msec latency
[RUN #1 10%,  39 secs]  8 threads:     4949677 ops,  127725 (avg:  126904) ops/sec, 11.30MB/sec (avg: 11.23MB/sec),  3.13 (avg:  3.15) msec latency
[RUN #1 10%,  40 secs]  8 threads:     5079295 ops,  129590 (avg:  126971) ops/sec, 11.47MB/sec (avg: 11.23MB/sec),  3.08 (avg:  3.14) msec latency
[RUN #1 10%,  41 secs]  8 threads:     5206653 ops,  127332 (avg:  126980) ops/sec, 11.27MB/sec (avg: 11.24MB/sec),  3.14 (avg:  3.14) msec latency
[RUN #1 11%,  42 secs]  8 threads:     5334488 ops,  127806 (avg:  127000) ops/sec, 11.31MB/sec (avg: 11.24MB/sec),  3.12 (avg:  3.14) msec latency
[RUN #1 11%,  43 secs]  8 threads:     5485321 ops,  150800 (avg:  127553) ops/sec, 13.34MB/sec (avg: 11.29MB/sec),  2.65 (avg:  3.13) msec latency
[RUN #1 11%,  44 secs]  8 threads:     5613992 ops,  128642 (avg:  127578) ops/sec, 11.38MB/sec (avg: 11.29MB/sec),  3.10 (avg:  3.13) msec latency
[RUN #1 11%,  45 secs]  8 threads:     5741854 ops,  127834 (avg:  127584) ops/sec, 11.31MB/sec (avg: 11.29MB/sec),  3.12 (avg:  3.13) msec latency
[RUN #1 12%,  46 secs]  8 threads:     5868992 ops,  127110 (avg:  127573) ops/sec, 11.25MB/sec (avg: 11.29MB/sec),  3.14 (avg:  3.13) msec latency
[RUN #1 12%,  47 secs]  8 threads:     5990211 ops,  121192 (avg:  127438) ops/sec, 10.72MB/sec (avg: 11.28MB/sec),  3.30 (avg:  3.13) msec latency
[RUN #1 12%,  48 secs]  8 threads:     6112338 ops,  122101 (avg:  127326) ops/sec, 10.80MB/sec (avg: 11.27MB/sec),  3.27 (avg:  3.14) msec latency
[RUN #1 12%,  49 secs]  8 threads:     6236193 ops,  123829 (avg:  127255) ops/sec, 10.96MB/sec (avg: 11.26MB/sec),  3.22 (avg:  3.14) msec latency
[RUN #1 13%,  50 secs]  8 threads:     6357855 ops,  121634 (avg:  127143) ops/sec, 10.76MB/sec (avg: 11.25MB/sec),  3.29 (avg:  3.14) msec latency
[RUN #1 13%,  51 secs]  8 threads:     6513470 ops,  155568 (avg:  127700) ops/sec, 13.76MB/sec (avg: 11.30MB/sec),  2.56 (avg:  3.13) msec latency
